strategy_id,strategy_hash,strategy_type,symbol,timeframe,constraints,period,std_dev,trace_path,total_return,sharpe_ratio,max_drawdown,num_trades,win_rate,avg_return_per_trade,total_execution_cost
SPY_5m_strategy_30,0c2036dd8361,bollinger_bands,SPY_5m,1m,,16,1.0,traces/signals/bollinger_bands/SPY_5m_strategy_30.parquet,0.09138534328254377,0.9398024969854452,-0.04973733417540638,3081,0.49059117402164865,2.9660935826856143e-05,0.0
SPY_5m_strategy_31,1729defe80ec,bollinger_bands,SPY_5m,1m,,16,1.5,traces/signals/bollinger_bands/SPY_5m_strategy_31.parquet,0.20929915599213755,2.336025219728495,-0.037725323536951905,2921,0.5113667488359354,7.165325436225182e-05,0.0
SPY_5m_strategy_32,bb047773debb,bollinger_bands,SPY_5m,1m,,16,2.0,traces/signals/bollinger_bands/SPY_5m_strategy_32.parquet,0.065040576722871,1.3455064804359351,-0.04375745958183952,1655,0.5231292517006803,3.929944212862296e-05,0.0
SPY_5m_strategy_33,67aab798c4c3,bollinger_bands,SPY_5m,1m,,16,2.5,traces/signals/bollinger_bands/SPY_5m_strategy_33.parquet,-0.013128539493321822,-0.5365572015946266,-0.026721147942228685,720,0.5209205020920502,-1.8234082629613643e-05,0.0
SPY_5m_strategy_34,2bcc376485d5,bollinger_bands,SPY_5m,1m,,16,3.0,traces/signals/bollinger_bands/SPY_5m_strategy_34.parquet,0.00734765956558836,0.515586178785261,-0.015469241828562907,302,0.5460122699386503,2.432999856155086e-05,0.0
SPY_5m_strategy_35,3bc725799b6e,bollinger_bands,SPY_5m,1m,,17,1.0,traces/signals/bollinger_bands/SPY_5m_strategy_35.parquet,0.0868020048207585,0.895664043223159,-0.05501261864183438,3074,0.4914156138645935,2.823747717005807e-05,0.0
SPY_5m_strategy_36,cc981e9ed262,bollinger_bands,SPY_5m,1m,,17,1.5,traces/signals/bollinger_bands/SPY_5m_strategy_36.parquet,0.20517481579638086,2.313853136050524,-0.03697080381035367,2896,0.5086643561716876,7.084765738825305e-05,0.0
SPY_5m_strategy_37,8e87066c3723,bollinger_bands,SPY_5m,1m,,17,2.0,traces/signals/bollinger_bands/SPY_5m_strategy_37.parquet,0.0627331845939747,1.2806166241930548,-0.043833519437434854,1651,0.5224867724867724,3.799708333977874e-05,0.0
SPY_5m_strategy_38,aad915846c8b,bollinger_bands,SPY_5m,1m,,17,2.5,traces/signals/bollinger_bands/SPY_5m_strategy_38.parquet,-0.008131305185102411,-0.31739564207403403,-0.02228446408683682,732,0.5165692007797271,-1.1108340416806573e-05,0.0
SPY_5m_strategy_39,c45b884a2efa,bollinger_bands,SPY_5m,1m,,17,3.0,traces/signals/bollinger_bands/SPY_5m_strategy_39.parquet,0.008083077266787031,0.5726860531076494,-0.015567216391758953,318,0.5517241379310345,2.5418481971028398e-05,0.0
SPY_5m_strategy_40,8bfd000951c8,bollinger_bands,SPY_5m,1m,,18,1.0,traces/signals/bollinger_bands/SPY_5m_strategy_40.parquet,0.07274310357733027,0.7580456365113825,-0.06098555679411277,3041,0.49271460247070004,2.392078381365678e-05,0.0
SPY_5m_strategy_41,7b6de378abb1,bollinger_bands,SPY_5m,1m,,18,1.5,traces/signals/bollinger_bands/SPY_5m_strategy_41.parquet,0.17071268097860948,1.940813547247403,-0.034542151100673935,2846,0.5080687142113482,5.998337349916004e-05,0.0
SPY_5m_strategy_42,5c7108270d04,bollinger_bands,SPY_5m,1m,,18,2.0,traces/signals/bollinger_bands/SPY_5m_strategy_42.parquet,0.07876332057143531,1.5113549562811521,-0.04443254960415988,1660,0.52125,4.744778347676826e-05,0.0
SPY_5m_strategy_43,1c281ff1e665,bollinger_bands,SPY_5m,1m,,18,2.5,traces/signals/bollinger_bands/SPY_5m_strategy_43.parquet,0.006377266090950906,0.26950126475993197,-0.023020363030601176,742,0.5207547169811321,8.594698235782892e-06,0.0
SPY_5m_strategy_44,f3ee8435d51b,bollinger_bands,SPY_5m,1m,,18,3.0,traces/signals/bollinger_bands/SPY_5m_strategy_44.parquet,0.015879501270982033,1.0356663320662838,-0.013853469289197506,326,0.5628415300546448,4.8710126598104395e-05,0.0
SPY_5m_strategy_45,6060c4146778,bollinger_bands,SPY_5m,1m,,19,1.0,traces/signals/bollinger_bands/SPY_5m_strategy_45.parquet,0.10278925009599926,1.034038086347114,-0.04978263058205201,3015,0.49417068241877815,3.409262026401302e-05,0.0
SPY_5m_strategy_46,77ecf32f66e5,bollinger_bands,SPY_5m,1m,,19,1.5,traces/signals/bollinger_bands/SPY_5m_strategy_46.parquet,0.15591538252204207,1.7928991852444713,-0.044684550724457206,2825,0.5074017355793773,5.5191285848510464e-05,0.0
SPY_5m_strategy_47,8baa1f123457,bollinger_bands,SPY_5m,1m,,19,2.0,traces/signals/bollinger_bands/SPY_5m_strategy_47.parquet,0.09809986862906483,1.794671144583829,-0.04168793874101362,1678,0.5226039783001808,5.846237701374543e-05,0.0
SPY_5m_strategy_48,6f8fa2fc4f01,bollinger_bands,SPY_5m,1m,,19,2.5,traces/signals/bollinger_bands/SPY_5m_strategy_48.parquet,0.016896528657157184,0.6457937413674494,-0.02263873512970116,789,0.5158450704225352,2.141511870362127e-05,0.0
SPY_5m_strategy_49,72706250c433,bollinger_bands,SPY_5m,1m,,19,3.0,traces/signals/bollinger_bands/SPY_5m_strategy_49.parquet,0.01379890651258564,0.9012649968101758,-0.013105462783499444,342,0.5544041450777202,4.034767986136152e-05,0.0
SPY_5m_strategy_50,31784fac0618,bollinger_bands,SPY_5m,1m,,20,1.0,traces/signals/bollinger_bands/SPY_5m_strategy_50.parquet,0.12281199899034179,1.218805891634397,-0.05867782954811018,2987,0.49399969618714873,4.1115500164158613e-05,0.0
SPY_5m_strategy_51,a08c8bbd5d2c,bollinger_bands,SPY_5m,1m,,20,1.5,traces/signals/bollinger_bands/SPY_5m_strategy_51.parquet,0.1337864246248608,1.5508211576720232,-0.04316536683574612,2734,0.502903307245645,4.8934317712092464e-05,0.0
SPY_5m_strategy_52,49cbed903ac4,bollinger_bands,SPY_5m,1m,,20,2.0,traces/signals/bollinger_bands/SPY_5m_strategy_52.parquet,0.08052053619008959,1.4973655697882606,-0.039333508619039725,1685,0.516260162601626,4.778666836207097e-05,0.0
SPY_5m_strategy_53,d6203f75d335,bollinger_bands,SPY_5m,1m,,20,2.5,traces/signals/bollinger_bands/SPY_5m_strategy_53.parquet,0.013178093391871037,0.4980596954498443,-0.023058390551175756,784,0.5151515151515151,1.680879259167224e-05,0.0
SPY_5m_strategy_54,7d826e7e1670,bollinger_bands,SPY_5m,1m,,20,3.0,traces/signals/bollinger_bands/SPY_5m_strategy_54.parquet,0.0032932930515434666,0.19611264235754838,-0.021531395723767832,336,0.54,9.801467415307936e-06,0.0
SPY_5m_strategy_55,af0897a3cbf3,bollinger_bands,SPY_5m,1m,,21,1.0,traces/signals/bollinger_bands/SPY_5m_strategy_55.parquet,0.11267475903054436,1.1224915515980944,-0.05568138317933069,2956,0.4918790046192818,3.811730684389187e-05,0.0
SPY_5m_strategy_56,e1a5b15c1c4d,bollinger_bands,SPY_5m,1m,,21,1.5,traces/signals/bollinger_bands/SPY_5m_strategy_56.parquet,0.17035742307129476,1.8966151173906936,-0.0425541290000786,2714,0.5033407572383074,6.276986848610714e-05,0.0
SPY_5m_strategy_57,6b16474082ff,bollinger_bands,SPY_5m,1m,,21,2.0,traces/signals/bollinger_bands/SPY_5m_strategy_57.parquet,0.04769370051856159,0.9048226486142772,-0.04477836739343233,1655,0.5124434389140271,2.8817945932665614e-05,0.0
SPY_5m_strategy_58,4daf7ecf9645,bollinger_bands,SPY_5m,1m,,21,2.5,traces/signals/bollinger_bands/SPY_5m_strategy_58.parquet,-0.014662514555225936,-0.41861116638073603,-0.03207212677759641,769,0.5088852988691438,-1.9066989018499266e-05,0.0
SPY_5m_strategy_59,66b838920d84,bollinger_bands,SPY_5m,1m,,21,3.0,traces/signals/bollinger_bands/SPY_5m_strategy_59.parquet,0.008824139914099582,0.5008702564807634,-0.019332734252727857,364,0.543859649122807,2.42421426211527e-05,0.0
SPY_5m_strategy_60,89ba5ecaeb7e,bollinger_bands,SPY_5m,1m,,22,1.0,traces/signals/bollinger_bands/SPY_5m_strategy_60.parquet,0.12432303362090935,1.224695231885118,-0.05058135042201806,2896,0.4917094644167278,4.2929224316612345e-05,0.0
SPY_5m_strategy_61,fdd85de572ee,bollinger_bands,SPY_5m,1m,,22,1.5,traces/signals/bollinger_bands/SPY_5m_strategy_61.parquet,0.1906465354121354,2.0578346131463565,-0.042519049487926286,2649,0.5031707317073171,7.196924704119871e-05,0.0
SPY_5m_strategy_62,9b3b4bc11856,bollinger_bands,SPY_5m,1m,,22,2.0,traces/signals/bollinger_bands/SPY_5m_strategy_62.parquet,0.03590789971542385,0.677923775451859,-0.04768074777703024,1628,0.5105088495575221,2.205644945664856e-05,0.0
