num,entry_time,entry_price,exit_time,exit_price,dir,exit_type,return,bars,stop,target
87,2024-04-22 17:50:00+00:00,501.77,2024-04-22 17:55:00+00:00,501.26823,SHORT,target,0.0008999999999999302,1,502.1463275,501.26822999999996
88,2024-04-22 19:30:00+00:00,499.5495,2024-04-22 19:40:00+00:00,499.77,LONG,signal,0.00034139769932701086,2,499.17483787500004,500.04904949999997
89,2024-04-23 13:30:00+00:00,501.4,2024-04-23 13:35:00+00:00,501.77605,SHORT,stop,-0.0008500000000000413,1,501.77605,500.8986
90,2024-04-23 14:30:00+00:00,505.02,2024-04-23 14:35:00+00:00,504.51498,SHORT,target,0.0009000000000000037,1,505.39876499999997,504.51498
91,2024-04-23 17:10:00+00:00,504.81,2024-04-23 17:15:00+00:00,504.98,LONG,signal,0.0002367603652859807,1,504.4313925,505.31480999999997
92,2024-04-23 18:50:00+00:00,505.36,2024-04-23 18:55:00+00:00,505.73,LONG,signal,0.0006321513376602907,1,504.98098,505.86535999999995
93,2024-04-23 19:00:00+00:00,505.21,2024-04-23 19:05:00+00:00,505.245,LONG,signal,-3.072187803086833e-05,1,504.83109249999995,505.7152099999999
94,2024-04-24 13:30:00+00:00,506.34,2024-04-24 13:35:00+00:00,506.719755,SHORT,stop,-0.0008500000000000902,1,506.71975499999996,505.83365999999995
95,2024-04-24 16:30:00+00:00,503.325,2024-04-24 16:35:00+00:00,503.6,LONG,signal,0.0004463666616997648,1,502.94750624999995,503.82832499999995
96,2024-04-24 19:20:00+00:00,505.8901,2024-04-24 19:25:00+00:00,505.85,SHORT,signal,-2.0733772018872556e-05,1,506.269517575,505.38420990000003
97,2024-04-25 13:30:00+00:00,498.47,2024-04-25 13:35:00+00:00,498.96847,LONG,target,0.000899999999999995,1,498.09614750000003,498.96846999999997
98,2024-04-25 15:55:00+00:00,500.25,2024-04-25 16:00:00+00:00,500.38,SHORT,signal,-0.00035987006496750716,1,500.62518750000004,499.74975
99,2024-04-25 17:35:00+00:00,502.95,2024-04-25 17:40:00+00:00,502.83,SHORT,signal,0.00013859230539815993,1,503.32721250000003,502.44705
100,2024-04-25 18:25:00+00:00,501.97,2024-04-25 18:30:00+00:00,502.47197,LONG,target,0.0008999999999999434,1,501.5935225,502.47197
