strategy_hash,strategy_type,original_sharpe,original_return,optimal_stop,optimal_target,optimal_sharpe,optimal_return,sharpe_improvement,return_improvement,num_trades,period,std_dev
0feab640ac62,bollinger_bands,-1.1718594675199716,-0.02684098494715892,0.075,0.1,8.950136702901192,0.14551723353740464,10.121996170421163,0.17235821848456356,369,14,2.5
b1b13ffa7fb6,bollinger_bands,-0.27037159613254613,-0.00403132117415772,0.1,0.15,3.1548492338577825,0.0399275610340768,3.4252208299903284,0.04395888220823452,126,14,3.0
db8d4e8f6787,bollinger_bands,-3.7532477669222586,-0.2679789709423741,0.075,0.1,8.470053881258366,0.37547186559710344,12.223301648180625,0.6434508365394775,2319,15,1.0
e837394fa671,bollinger_bands,-2.009969866510625,-0.10834273655249838,0.075,0.1,12.139545047372398,0.49890230211684994,14.149514913883023,0.6072450386693483,1950,15,1.5
de310b1d719c,bollinger_bands,-1.258811143189607,-0.0439827511288563,0.075,0.1,13.164312392070682,0.36511737372271713,14.42312353526029,0.40910012485157343,1005,15,2.0
7d8028d44776,bollinger_bands,-1.4749713372314024,-0.03572246393459688,0.075,0.1,8.09792624581732,0.13521925757439068,9.572897583048722,0.17094172150898757,376,15,2.5
cc8fd5805152,bollinger_bands,-0.8428888052064265,-0.01331197058462752,0.05,0.1,3.329443613392127,0.031487796448507854,4.172332418598553,0.044799767033135374,139,15,3.0
0c2036dd8361,bollinger_bands,-3.520072913167283,-0.25700386819627685,0.075,0.1,9.055781285327004,0.39810437833994605,12.575854198494287,0.6551082465362229,2227,16,1.0
1729defe80ec,bollinger_bands,-1.8807687389236911,-0.101256252898283,0.075,0.1,12.28897726740285,0.4990697345706976,14.169746006326541,0.6003259874689806,1907,16,1.5
bb047773debb,bollinger_bands,-0.9625615787867957,-0.03645624866299513,0.075,0.1,12.27288552659535,0.3370227276345781,13.235447105382145,0.3734789762975732,977,16,2.0
67aab798c4c3,bollinger_bands,-1.703973833504836,-0.04183715819012279,0.075,0.1,7.8742939748576255,0.1318410117198734,9.578267808362462,0.17367816990999618,371,16,2.5
2bcc376485d5,bollinger_bands,-0.6497924493789548,-0.010349692541389843,0.05,0.1,3.4471364755230027,0.03362052017982986,4.096928924901958,0.043970212721219704,146,16,3.0
3bc725799b6e,bollinger_bands,-3.3484421436485774,-0.24746924363944944,0.075,0.1,9.243605340208457,0.4007094203816197,12.592047483857035,0.6481786640210692,2166,17,1.0
cc981e9ed262,bollinger_bands,-1.95244712430186,-0.10890343859067475,0.075,0.1,11.412835928827851,0.45053052355219125,13.365283053129712,0.559433962142866,1841,17,1.5
8e87066c3723,bollinger_bands,-1.1215345273451147,-0.04191932582287772,0.075,0.1,10.908956997368021,0.2948159086427644,12.030491524713135,0.33673523446564213,957,17,2.0
aad915846c8b,bollinger_bands,-1.677604973038636,-0.041885718328839916,0.075,0.1,8.27390175708676,0.1378444766470306,9.951506730125395,0.1797301949758705,379,17,2.5
c45b884a2efa,bollinger_bands,-0.6448592628869672,-0.00963451559107742,0.05,0.1,3.1747638387017147,0.03169328877868072,3.819623101588682,0.04132780436975814,153,17,3.0
8bfd000951c8,bollinger_bands,-3.5144684641300987,-0.25708734995873816,0.075,0.1,8.779766927205978,0.36976267285826614,12.294235391336077,0.6268500228170043,2069,18,1.0
7b6de378abb1,bollinger_bands,-2.1640879448156576,-0.12271466937888909,0.075,0.1,10.44531667366216,0.4013372255456069,12.609404618477818,0.524051894924496,1791,18,1.5
5c7108270d04,bollinger_bands,-1.080391463810216,-0.041762151059722474,0.075,0.1,11.374099919325428,0.30319129191520067,12.454491383135643,0.34495344297492314,944,18,2.0
1c281ff1e665,bollinger_bands,-1.5012259849282912,-0.03751344864255968,0.075,0.1,7.9553186157831695,0.13388333451395096,9.45654460071146,0.17139678315651063,376,18,2.5
f3ee8435d51b,bollinger_bands,-0.1810589683700485,-0.0030840452144840214,0.05,0.1,2.7811850475497857,0.02823497681378062,2.962244015919834,0.03131902202826464,159,18,3.0
6060c4146778,bollinger_bands,-3.0793268574506674,-0.23003852196716112,0.075,0.1,9.029041054150943,0.37590253789947536,12.10836791160161,0.6059410598666365,2031,19,1.0
77ecf32f66e5,bollinger_bands,-2.2709221249120746,-0.1285542125789758,0.075,0.1,10.716785120661546,0.4044486461279333,12.98770724557362,0.5330028587069091,1734,19,1.5
8baa1f123457,bollinger_bands,-0.9378317788276065,-0.03565947709617823,0.075,0.1,11.459575060128934,0.3063854689867389,12.39740683895654,0.34204494608291713,938,19,2.0
6f8fa2fc4f01,bollinger_bands,-1.463294314872381,-0.035708755299821315,0.075,0.1,8.513815930065642,0.14665780503623616,9.977110244938022,0.18236656033605747,399,19,2.5
72706250c433,bollinger_bands,-0.38502493037072527,-0.00650113951594089,0.05,0.1,3.231892686454781,0.03328528674821074,3.616917616825506,0.03978642626415163,166,19,3.0
31784fac0618,bollinger_bands,-2.9243821625252147,-0.22158952243394892,0.05,0.1,8.489404241985744,0.3070974570052889,11.413786404510958,0.5286869794392378,1963,20,1.0
