strategy_idx,strategy_name,trades,trades_per_day,win_rate,total_return,annual_return,avg_return,avg_bars_held,sr_period,min_touches,bounce_threshold,exit_threshold
54,SPY_15m_compiled_strategy_54,446,1.457516339869281,0.44170403587443946,-0.04928981006941513,-0.058549115468816026,-0.00011009183667684418,2.087443946188341,30.0,5.0,0.0045,0.0018
75,SPY_15m_compiled_strategy_75,692,2.261437908496732,0.4624277456647399,-0.05056479638869993,-0.06005595647728612,-7.070660696928245e-05,2.195086705202312,35.0,3.0,0.005,0.0012
76,SPY_15m_compiled_strategy_76,605,1.977124183006536,0.4677685950413223,-0.012624275287326236,-0.01505020168906357,-1.766066010181576e-05,2.133884297520661,35.0,3.0,0.005,0.0014
77,SPY_15m_compiled_strategy_77,577,1.8856209150326797,0.4800693240901213,-0.0043561224690231715,-0.0051973919515466704,-4.1418486282150385e-06,2.0779896013864816,35.0,3.0,0.005,0.0015
78,SPY_15m_compiled_strategy_78,531,1.7352941176470589,0.4708097928436911,-0.01151013769046838,-0.013723458995543947,-1.8301168288310174e-05,2.096045197740113,35.0,3.0,0.005,0.0016
79,SPY_15m_compiled_strategy_79,467,1.526143790849673,0.4518201284796574,-0.03524715045124771,-0.041927017379632114,-7.362057459933631e-05,2.113490364025696,35.0,3.0,0.005,0.0018
100,SPY_15m_compiled_strategy_100,692,2.261437908496732,0.4624277456647399,-0.05056479638869993,-0.06005595647728612,-7.070660696928245e-05,2.195086705202312,35.0,5.0,0.0035,0.0012
101,SPY_15m_compiled_strategy_101,605,1.977124183006536,0.4677685950413223,-0.012624275287326236,-0.01505020168906357,-1.766066010181576e-05,2.133884297520661,35.0,5.0,0.0035,0.0014
102,SPY_15m_compiled_strategy_102,577,1.8856209150326797,0.4800693240901213,-0.0043561224690231715,-0.0051973919515466704,-4.1418486282150385e-06,2.0779896013864816,35.0,5.0,0.0035,0.0015
103,SPY_15m_compiled_strategy_103,531,1.7352941176470589,0.4708097928436911,-0.01151013769046838,-0.013723458995543947,-1.8301168288310174e-05,2.096045197740113,35.0,5.0,0.0035,0.0016
104,SPY_15m_compiled_strategy_104,467,1.526143790849673,0.4518201284796574,-0.03524715045124771,-0.041927017379632114,-7.362057459933631e-05,2.113490364025696,35.0,5.0,0.0035,0.0018
125,SPY_15m_compiled_strategy_125,692,2.261437908496732,0.4624277456647399,-0.05056479638869993,-0.06005595647728612,-7.070660696928245e-05,2.195086705202312,40.0,3.0,0.004,0.0012
126,SPY_15m_compiled_strategy_126,605,1.977124183006536,0.4677685950413223,-0.012624275287326236,-0.01505020168906357,-1.766066010181576e-05,2.133884297520661,40.0,3.0,0.004,0.0014
127,SPY_15m_compiled_strategy_127,577,1.8856209150326797,0.4800693240901213,-0.0043561224690231715,-0.0051973919515466704,-4.1418486282150385e-06,2.0779896013864816,40.0,3.0,0.004,0.0015
