strategy_idx,strategy_name,trades,trades_per_day,win_rate,total_return,annual_return,avg_return,avg_return_bps,avg_bars_held,sr_period,min_touches,entry_zone,exit_zone,min_range
10,SPY_5m_compiled_strategy_10,1033,3.3758169934640523,0.4530493707647628,-0.058351452149819516,-0.06925008797683241,-5.68667946091354e-05,-0.5686679460913541,1.818973862536302,10.0,2.0,0.001,0.002,0.004
11,SPY_5m_compiled_strategy_11,1027,3.3562091503267975,0.45569620253164556,-0.05585764021759343,-0.06630710386403682,-5.4623980565397734e-05,-0.5462398056539773,1.8227848101265822,10.0,2.0,0.001,0.002,0.005
12,SPY_5m_compiled_strategy_12,681,2.2254901960784315,0.4654919236417034,-0.03550893720358572,-0.04223732152455095,-5.207594455424174e-05,-0.5207594455424174,1.748898678414097,10.0,2.0,0.001,0.0025,0.002
13,SPY_5m_compiled_strategy_13,681,2.2254901960784315,0.4654919236417034,-0.03550893720358572,-0.04223732152455095,-5.207594455424174e-05,-0.5207594455424174,1.748898678414097,10.0,2.0,0.001,0.0025,0.003
14,SPY_5m_compiled_strategy_14,681,2.2254901960784315,0.4654919236417034,-0.03550893720358572,-0.04223732152455095,-5.207594455424174e-05,-0.5207594455424174,1.748898678414097,10.0,2.0,0.001,0.0025,0.004
15,SPY_5m_compiled_strategy_15,681,2.2254901960784315,0.4654919236417034,-0.03550893720358572,-0.04223732152455095,-5.207594455424174e-05,-0.5207594455424174,1.748898678414097,10.0,2.0,0.001,0.0025,0.005
16,SPY_5m_compiled_strategy_16,464,1.5163398692810457,0.46336206896551724,-0.05160039703668584,-0.061279591513711984,-0.00011326035461049147,-1.1326035461049146,1.7629310344827587,10.0,2.0,0.001,0.003,0.002
17,SPY_5m_compiled_strategy_17,464,1.5163398692810457,0.46336206896551724,-0.05160039703668584,-0.061279591513711984,-0.00011326035461049147,-1.1326035461049146,1.7629310344827587,10.0,2.0,0.001,0.003,0.003
18,SPY_5m_compiled_strategy_18,464,1.5163398692810457,0.46336206896551724,-0.05160039703668584,-0.061279591513711984,-0.00011326035461049147,-1.1326035461049146,1.7629310344827587,10.0,2.0,0.001,0.003,0.004
19,SPY_5m_compiled_strategy_19,464,1.5163398692810457,0.46336206896551724,-0.05160039703668584,-0.061279591513711984,-0.00011326035461049147,-1.1326035461049146,1.7629310344827587,10.0,2.0,0.001,0.003,0.005
20,SPY_5m_compiled_strategy_20,3270,10.686274509803921,0.4819571865443425,-0.2357603552894989,-0.27452976152846087,-8.121502844125686e-05,-0.8121502844125686,2.0045871559633026,10.0,2.0,0.0015,0.001,0.002
21,SPY_5m_compiled_strategy_21,2875,9.395424836601308,0.4768695652173913,-0.21981810268750845,-0.2564297079763619,-8.524295809937902e-05,-0.8524295809937902,2.0612173913043477,10.0,2.0,0.0015,0.001,0.003
22,SPY_5m_compiled_strategy_22,2088,6.823529411764706,0.47270114942528735,-0.1816899714356146,-0.21285202339557585,-9.482451271102882e-05,-0.9482451271102882,2.1618773946360155,10.0,2.0,0.0015,0.001,0.004
23,SPY_5m_compiled_strategy_23,1503,4.911764705882353,0.46773120425815035,-0.12059737448544816,-0.1422100064328602,-8.39866271462063e-05,-0.8398662714620629,2.3107119095143047,10.0,2.0,0.0015,0.001,0.005
24,SPY_5m_compiled_strategy_24,2085,6.813725490196078,0.46091127098321344,-0.20428854927499807,-0.23872920482257676,-0.00010865557097432143,-1.0865557097432144,1.7635491606714628,10.0,2.0,0.0015,0.0015,0.002
25,SPY_5m_compiled_strategy_25,2085,6.813725490196078,0.46091127098321344,-0.20428854927499807,-0.23872920482257676,-0.00010865557097432143,-1.0865557097432144,1.7635491606714628,10.0,2.0,0.0015,0.0015,0.003
26,SPY_5m_compiled_strategy_26,1749,5.715686274509804,0.45740423098913663,-0.16468808163257898,-0.1932918644465188,-0.00010182483024532123,-1.0182483024532123,1.8381932532875929,10.0,2.0,0.0015,0.0015,0.004
27,SPY_5m_compiled_strategy_27,1360,4.444444444444445,0.45,-0.12379885617361208,-0.1459361517917278,-9.591022031128332e-05,-0.9591022031128331,1.9691176470588236,10.0,2.0,0.0015,0.0015,0.005
28,SPY_5m_compiled_strategy_28,1033,3.3758169934640523,0.4530493707647628,-0.058351452149819516,-0.06925008797683241,-5.68667946091354e-05,-0.5686679460913541,1.818973862536302,10.0,2.0,0.0015,0.002,0.002
