entry_time,exit_time,entry_idx,exit_idx,entry_price,exit_price,direction,pnl_pct,duration_bars,duration_minutes,workspace,strategy_file
2024-12-19 15:56:00+00:00,2024-12-19 15:58:00+00:00,72724,72726,588.8563,589.78,long,0.1568633977423592,2,2.0,workspaces/signal_generation_f88793ad,SPY_compiled_strategy_0
2024-12-19 15:58:00+00:00,2024-12-19 16:01:00+00:00,72726,72729,589.78,588.88,short,0.15259927430566947,3,3.0,workspaces/signal_generation_f88793ad,SPY_compiled_strategy_0
2024-12-19 16:01:00+00:00,2024-12-19 16:15:00+00:00,72729,72743,588.88,588.67,long,-0.035660915636468615,14,14.0,workspaces/signal_generation_f88793ad,SPY_compiled_strategy_0
2024-12-19 16:15:00+00:00,2024-12-19 16:16:00+00:00,72743,72744,588.67,588.49,short,0.030577403298953573,1,1.0,workspaces/signal_generation_f88793ad,SPY_compiled_strategy_0
2024-12-19 16:16:00+00:00,2024-12-19 16:17:00+00:00,72744,72745,588.49,588.89,long,0.0679705687437301,1,1.0,workspaces/signal_generation_f88793ad,SPY_compiled_strategy_0
2024-12-19 16:17:00+00:00,2024-12-19 16:41:00+00:00,72745,72769,588.89,590.48,short,-0.26999949056700434,24,24.0,workspaces/signal_generation_f88793ad,SPY_compiled_strategy_0
2024-12-19 16:41:00+00:00,2024-12-19 16:47:00+00:00,72769,72775,590.48,590.77,long,0.04911258637040435,6,6.0,workspaces/signal_generation_f88793ad,SPY_compiled_strategy_0
2024-12-19 16:47:00+00:00,2024-12-19 16:48:00+00:00,72775,72776,590.77,590.6,short,0.02877600419790427,1,1.0,workspaces/signal_generation_f88793ad,SPY_compiled_strategy_0
2024-12-19 16:48:00+00:00,2024-12-19 17:06:00+00:00,72776,72794,590.6,590.07,long,-0.08973924822214235,18,18.0,workspaces/signal_generation_f88793ad,SPY_compiled_strategy_0
2024-12-19 17:06:00+00:00,2024-12-19 17:07:00+00:00,72794,72795,590.07,589.55,short,0.08812513769554382,1,1.0,workspaces/signal_generation_f88793ad,SPY_compiled_strategy_0
2024-12-19 17:07:00+00:00,2024-12-19 17:39:00+00:00,72795,72827,589.55,588.49,long,-0.17979815113221023,32,32.0,workspaces/signal_generation_f88793ad,SPY_compiled_strategy_0
2024-12-19 17:39:00+00:00,2024-12-19 17:44:00+00:00,72827,72832,588.49,588.065,short,0.0722187292902096,5,5.0,workspaces/signal_generation_f88793ad,SPY_compiled_strategy_0
2024-12-19 17:44:00+00:00,2024-12-19 17:45:00+00:00,72832,72833,588.065,588.16,long,0.016154676778912806,1,1.0,workspaces/signal_generation_f88793ad,SPY_compiled_strategy_0
2024-12-19 17:45:00+00:00,2024-12-19 17:49:00+00:00,72833,72837,588.16,588.03,short,0.022102829162131982,4,4.0,workspaces/signal_generation_f88793ad,SPY_compiled_strategy_0
2024-12-19 17:49:00+00:00,2024-12-19 17:54:00+00:00,72837,72842,588.03,588.1699,long,0.023791303164806467,5,5.0,workspaces/signal_generation_f88793ad,SPY_compiled_strategy_0
2024-12-19 17:54:00+00:00,2024-12-19 18:01:00+00:00,72842,72849,588.1699,588.0201,short,0.025468831369988072,7,7.0,workspaces/signal_generation_f88793ad,SPY_compiled_strategy_0
2024-12-19 18:01:00+00:00,2024-12-19 18:07:00+00:00,72849,72855,588.0201,588.26,long,0.04079792510494696,6,6.0,workspaces/signal_generation_f88793ad,SPY_compiled_strategy_0
2024-12-19 18:07:00+00:00,2024-12-19 18:22:00+00:00,72855,72870,588.26,588.4,short,-0.023799000441979117,15,15.0,workspaces/signal_generation_f88793ad,SPY_compiled_strategy_0
2024-12-19 18:22:00+00:00,2024-12-19 18:23:00+00:00,72870,72871,588.4,588.9,long,0.0849762066621346,1,1.0,workspaces/signal_generation_f88793ad,SPY_compiled_strategy_0
2024-12-19 18:23:00+00:00,2024-12-19 18:54:00+00:00,72871,72902,588.9,589.84,short,-0.1596196298183146,31,31.0,workspaces/signal_generation_f88793ad,SPY_compiled_strategy_0
2024-12-19 18:54:00+00:00,2024-12-19 18:55:00+00:00,72902,72903,589.84,590.018,long,0.030177675301776292,1,1.0,workspaces/signal_generation_f88793ad,SPY_compiled_strategy_0
2024-12-19 18:55:00+00:00,2024-12-19 19:06:00+00:00,72903,72914,590.018,590.06,short,-0.007118426895436465,11,11.0,workspaces/signal_generation_f88793ad,SPY_compiled_strategy_0
2024-12-19 19:06:00+00:00,2024-12-19 19:24:00+00:00,72914,72932,590.06,589.62,long,-0.074568687930031,18,18.0,workspaces/signal_generation_f88793ad,SPY_compiled_strategy_0
2024-12-19 19:24:00+00:00,2024-12-19 19:25:00+00:00,72932,72933,589.62,589.41,short,0.035616159560401,1,1.0,workspaces/signal_generation_f88793ad,SPY_compiled_strategy_0
2024-12-19 19:25:00+00:00,2024-12-19 19:27:00+00:00,72933,72935,589.41,589.55,long,0.023752566125445167,2,2.0,workspaces/signal_generation_f88793ad,SPY_compiled_strategy_0
2024-12-19 19:27:00+00:00,2024-12-19 19:28:00+00:00,72935,72936,589.55,589.05,short,0.08481044864727336,1,1.0,workspaces/signal_generation_f88793ad,SPY_compiled_strategy_0
