filters,num_filters,trades,avg_return_bps,net_1bp,net_2bp,net_4bp,win_rate,trades_per_day,annual_return_2bp
HighVol(>90%) + BelowVWAP,2,568,3.0513264595751344,2.0513264595751344,1.0513264595751344,-0.9486735404248656,64.7887323943662,2.7086313781592755,7.176092709477657
HighVol(>90%) + FarBelowVWAP(<-0.2%),2,550,2.137386904877398,1.1373869048773981,0.13738690487739813,-1.8626130951226019,65.0909090909091,2.622794468288031,0.9080507876016873
HighVol(>90%) + StrongDowntrend,2,560,1.6977941261096468,0.6977941261096468,-0.30220587389035325,-2.3022058738903532,72.32142857142857,2.670481640438722,-2.033728799399459
HighVol(>90%) + Downtrend,2,2237,0.16220110617797992,-0.8377988938220201,-1.83779889382202,-3.83779889382202,65.26598122485471,10.66762041010968,-49.40445129332019
HighVol(>90%) + RSI(30-50),2,1215,1.0304728341969864,0.03047283419698643,-0.9695271658030136,-2.9695271658030133,65.84362139917695,5.793991416309013,-14.155928832883486
HighVol(>90%) + LowRSI(<50),2,2401,0.834923369444379,-0.16507663055562105,-1.165076630555621,-3.165076630555621,65.26447313619326,11.449690033381021,-33.61621103819455
HighVol(>80%) + HighVolume(>1.5x),2,2429,1.6562971107698827,0.6562971107698827,-0.34370288923011727,-2.3437028892301175,67.97035817208727,11.583214115402956,-10.032584078248385
HighVol(>80%) + HighVolume(>2x),2,1445,2.8129579388497477,1.8129579388497477,0.8129579388497477,-1.1870420611502523,69.13494809688582,6.890796375774917,14.116857599081884
HighVol(>80%) + BelowVWAP,2,920,2.1181343308737386,1.1181343308737386,0.11813433087373859,-1.8818656691262614,65.32608695652173,4.387219837863615,1.3060688254538653
HighVol(>80%) + NearVWAP(-0.2to0%),2,28,20.583657849000875,19.583657849000875,18.583657849000875,16.583657849000875,67.85714285714286,0.1335240820219361,6.253041954341926
HighVol(>80%) + FarBelowVWAP(<-0.2%),2,892,1.5384990634885818,0.5384990634885818,-0.4615009365114182,-2.461500936511418,65.24663677130044,4.253695755841679,-4.946973128888062
HighVol(>80%) + StrongDowntrend,2,1182,0.8856322629777367,-0.11436773702226333,-1.1143677370222633,-3.1143677370222633,69.62774957698815,5.636623748211731,-15.82880455986645
HighVol(>80%) + Downtrend,2,4040,0.06280488720191117,-0.9371951127980889,-1.9371951127980889,-3.9371951127980886,65.76732673267327,19.26561754887935,-94.04957560502997
HighVol(>80%) + RSI(30-50),2,2044,0.7287390053898111,-0.27126099461018893,-1.271260994610189,-3.2712609946101887,66.92759295499022,9.747257987601335,-31.22609838778126
HighVol(>80%) + LowRSI(<50),2,4113,0.5760143829092415,-0.42398561709075855,-1.4239856170907585,-3.4239856170907585,65.64551422319475,19.6137339055794,-70.38278094705586
ModerateVol(20-60%) + HighVolume(>1.5x),2,3393,-0.007038458070042739,-1.0070384580700427,-2.007038458070043,-4.007038458070043,66.22458001768346,16.180257510729614,-81.8354856954877
ModerateVol(20-60%) + HighVolume(>2x),2,1811,-0.19250887815020667,-1.1925088781502067,-2.192508878150207,-4.192508878150207,64.32909994478189,8.636146876490224,-47.71576832327927
ModerateVol(20-60%) + BelowVWAP,2,1400,-0.5214704037648152,-1.5214704037648152,-2.5214704037648152,-4.521470403764815,66.64285714285715,6.676204101096805,-42.421304647030375
