entry_time,exit_time,direction,pnl_pct,bars_held,volatility,atr_pct,vwap_position,vwap_distance,trend,volume_ratio,hour
2025-02-28 16:11:00+00:00,2025-02-28 16:21:00+00:00,long,-0.0340211271199542,10,unknown,0,unknown,0,unknown,1.0,16
2025-02-28 18:55:00+00:00,2025-02-28 19:06:00+00:00,long,-0.013657886189966106,11,unknown,0,unknown,0,unknown,1.0,18
2025-02-28 19:18:00+00:00,2025-02-28 19:21:00+00:00,short,0.07858546168959535,3,unknown,0,unknown,0,unknown,1.0,19
2025-02-28 20:21:00+00:00,2025-02-28 20:25:00+00:00,long,0.12075651404857002,4,unknown,0,unknown,0,unknown,1.0,20
2025-03-03 15:21:00+00:00,2025-03-03 15:39:00+00:00,short,-0.09270998415213949,18,unknown,0,unknown,0,unknown,1.0,15
2025-03-03 16:19:00+00:00,2025-03-03 16:25:00+00:00,short,0.047165043964558784,6,unknown,0,unknown,0,unknown,1.0,16
2025-03-03 17:35:00+00:00,2025-03-03 17:39:00+00:00,long,0.04465338860242252,4,unknown,0,unknown,0,unknown,1.0,17
2025-03-03 18:48:00+00:00,2025-03-03 18:55:00+00:00,short,0.059215358293651654,7,unknown,0,unknown,0,unknown,1.0,18
2025-03-03 19:17:00+00:00,2025-03-03 19:23:00+00:00,long,0.06114130434782261,6,unknown,0,unknown,0,unknown,1.0,19
2025-03-04 15:53:00+00:00,2025-03-04 16:00:00+00:00,long,0.15342236479654048,7,unknown,0,unknown,0,unknown,1.0,15
2025-03-04 17:50:00+00:00,2025-03-04 18:03:00+00:00,long,0.06562618389376329,13,unknown,0,unknown,0,unknown,1.0,17
2025-03-05 14:40:00+00:00,2025-03-05 14:47:00+00:00,short,0.1745834197607654,7,unknown,0,unknown,0,unknown,1.0,14
2025-03-05 15:38:00+00:00,2025-03-05 15:42:00+00:00,short,0.16272547865525677,4,unknown,0,unknown,0,unknown,1.0,15
2025-03-05 18:30:00+00:00,2025-03-05 18:33:00+00:00,long,0.09328197066800215,3,unknown,0,unknown,0,unknown,1.0,18
2025-03-05 19:37:00+00:00,2025-03-05 19:42:00+00:00,long,0.14251128929791967,5,unknown,0,unknown,0,unknown,1.0,19
2025-03-06 14:50:00+00:00,2025-03-06 14:53:00+00:00,short,0.11120571319351846,3,unknown,0,unknown,0,unknown,1.0,14
