strategy_idx,trades,trades_per_day,win_rate,total_return,annual_return,avg_return,avg_bars_held,sr_period,min_touches,bounce_threshold,exit_threshold
143,326,1.065359477124183,0.43558282208588955,-0.010717163018105436,-0.012778988666772406,-3.0324981863487484e-05,2.088957055214724,30.0,4.0,0.005,0.0025
160,812,2.65359477124183,0.4642857142857143,-0.06898751501395883,-0.08178488291796904,-8.4022446011501e-05,2.1933497536945814,35.0,3.0,0.002,0.001
161,577,1.8856209150326797,0.4800693240901213,-0.0043561224690231715,-0.0051973919515466704,-4.1418486282150385e-06,2.0779896013864816,35.0,3.0,0.002,0.0015
162,427,1.3954248366013071,0.45433255269320844,-0.021627464146617426,-0.0257607649287509,-4.85119143599571e-05,2.072599531615925,35.0,3.0,0.002,0.002
163,326,1.065359477124183,0.43558282208588955,-0.010717163018105436,-0.012778988666772406,-3.0324981863487484e-05,2.088957055214724,35.0,3.0,0.002,0.0025
180,826,2.6993464052287583,0.4612590799031477,-0.07307626263066402,-0.08659619053593537,-8.765109885792035e-05,2.301452784503632,35.0,4.0,0.003,0.001
181,591,1.9313725490196079,0.47715736040609136,-0.006147354060087484,-0.007333276331231375,-6.746775873509843e-06,2.22165820642978,35.0,4.0,0.003,0.0015
182,438,1.4313725490196079,0.4497716894977169,-0.02483176043874491,-0.029568134019086756,-5.4354371879973344e-05,2.2648401826484017,35.0,4.0,0.003,0.002
183,340,1.1111111111111112,0.4264705882352941,-0.00893626133421388,-0.010657316372074233,-2.3353401102490802e-05,2.3117647058823527,35.0,4.0,0.003,0.0025
200,826,2.6993464052287583,0.4612590799031477,-0.07307626263066402,-0.08659619053593537,-8.765109885792035e-05,2.301452784503632,40.0,2.0,0.004,0.001
201,591,1.9313725490196079,0.47715736040609136,-0.006147354060087484,-0.007333276331231375,-6.746775873509843e-06,2.22165820642978,40.0,2.0,0.004,0.0015
202,438,1.4313725490196079,0.4497716894977169,-0.02483176043874491,-0.029568134019086756,-5.4354371879973344e-05,2.2648401826484017,40.0,2.0,0.004,0.002
203,340,1.1111111111111112,0.4264705882352941,-0.00893626133421388,-0.010657316372074233,-2.3353401102490802e-05,2.3117647058823527,40.0,2.0,0.004,0.0025
220,826,2.6993464052287583,0.4612590799031477,-0.07307626263066402,-0.08659619053593537,-8.765109885792035e-05,2.301452784503632,40.0,3.0,0.005,0.001
221,591,1.9313725490196079,0.47715736040609136,-0.006147354060087484,-0.007333276331231375,-6.746775873509843e-06,2.22165820642978,40.0,3.0,0.005,0.0015
222,438,1.4313725490196079,0.4497716894977169,-0.02483176043874491,-0.029568134019086756,-5.4354371879973344e-05,2.2648401826484017,40.0,3.0,0.005,0.002
223,340,1.1111111111111112,0.4264705882352941,-0.00893626133421388,-0.010657316372074233,-2.3353401102490802e-05,2.3117647058823527,40.0,3.0,0.005,0.0025
4,730,2.3856209150326797,0.4808219178082192,-0.0545637135799113,-0.06477952858716973,-7.315540175250216e-05,1.9589041095890412,20.0,2.0,0.003,0.001
5,486,1.588235294117647,0.49176954732510286,-0.02006651254245262,-0.023905155172002313,-3.8696099905017666e-05,1.8292181069958848,20.0,2.0,0.003,0.0015
6,350,1.1437908496732025,0.4714285714285714,-0.031896048212794126,-0.03795341061990931,-9.04970582820764e-05,1.737142857142857,20.0,2.0,0.003,0.002
7,255,0.8333333333333334,0.4549019607843137,-0.019672262919104178,-0.023436393149991797,-7.591412589614375e-05,1.6470588235294117,20.0,2.0,0.003,0.0025
24,730,2.3856209150326797,0.4808219178082192,-0.0545637135799113,-0.06477952858716973,-7.315540175250216e-05,1.9589041095890412,20.0,3.0,0.004,0.001
25,486,1.588235294117647,0.49176954732510286,-0.02006651254245262,-0.023905155172002313,-3.8696099905017666e-05,1.8292181069958848,20.0,3.0,0.004,0.0015
26,350,1.1437908496732025,0.4714285714285714,-0.031896048212794126,-0.03795341061990931,-9.04970582820764e-05,1.737142857142857,20.0,3.0,0.004,0.002
27,255,0.8333333333333334,0.4549019607843137,-0.019672262919104178,-0.023436393149991797,-7.591412589614375e-05,1.6470588235294117,20.0,3.0,0.004,0.0025
44,730,2.3856209150326797,0.4808219178082192,-0.0545637135799113,-0.06477952858716973,-7.315540175250216e-05,1.9589041095890412,20.0,4.0,0.005,0.001
45,486,1.588235294117647,0.49176954732510286,-0.02006651254245262,-0.023905155172002313,-3.8696099905017666e-05,1.8292181069958848,20.0,4.0,0.005,0.0015
46,350,1.1437908496732025,0.4714285714285714,-0.031896048212794126,-0.03795341061990931,-9.04970582820764e-05,1.737142857142857,20.0,4.0,0.005,0.002
47,255,0.8333333333333334,0.4549019607843137,-0.019672262919104178,-0.023436393149991797,-7.591412589614375e-05,1.6470588235294117,20.0,4.0,0.005,0.0025
64,775,2.5326797385620914,0.472258064516129,-0.06361707958659868,-0.07545917225177079,-8.119350717616502e-05,2.1109677419354838,25.0,3.0,0.002,0.001
65,539,1.761437908496732,0.48794063079777367,-0.018645174213441695,-0.02221501531810821,-3.193994725188099e-05,1.9833024118738405,25.0,3.0,0.002,0.0015
66,393,1.2843137254901962,0.4631043256997455,-0.042778949900724506,-0.050848170707962326,-0.00010905065946373706,1.9516539440203562,25.0,3.0,0.002,0.002
67,294,0.9607843137254902,0.4489795918367347,-0.027099505460665085,-0.032261222808911416,-9.138146836827923e-05,1.9285714285714286,25.0,3.0,0.002,0.0025
84,775,2.5326797385620914,0.472258064516129,-0.06361707958659868,-0.07545917225177079,-8.119350717616502e-05,2.1109677419354838,25.0,4.0,0.003,0.001
85,539,1.761437908496732,0.48794063079777367,-0.018645174213441695,-0.02221501531810821,-3.193994725188099e-05,1.9833024118738405,25.0,4.0,0.003,0.0015
86,393,1.2843137254901962,0.4631043256997455,-0.042778949900724506,-0.050848170707962326,-0.00010905065946373706,1.9516539440203562,25.0,4.0,0.003,0.002
87,294,0.9607843137254902,0.4489795918367347,-0.027099505460665085,-0.032261222808911416,-9.138146836827923e-05,1.9285714285714286,25.0,4.0,0.003,0.0025
104,775,2.5326797385620914,0.472258064516129,-0.06361707958659868,-0.07545917225177079,-8.119350717616502e-05,2.1109677419354838,30.0,2.0,0.004,0.001
105,539,1.761437908496732,0.48794063079777367,-0.018645174213441695,-0.02221501531810821,-3.193994725188099e-05,1.9833024118738405,30.0,2.0,0.004,0.0015
106,393,1.2843137254901962,0.4631043256997455,-0.042778949900724506,-0.050848170707962326,-0.00010905065946373706,1.9516539440203562,30.0,2.0,0.004,0.002
107,294,0.9607843137254902,0.4489795918367347,-0.027099505460665085,-0.032261222808911416,-9.138146836827923e-05,1.9285714285714286,30.0,2.0,0.004,0.0025
124,812,2.65359477124183,0.4642857142857143,-0.06898751501395883,-0.08178488291796904,-8.4022446011501e-05,2.1933497536945814,30.0,3.0,0.005,0.001
125,577,1.8856209150326797,0.4800693240901213,-0.0043561224690231715,-0.0051973919515466704,-4.1418486282150385e-06,2.0779896013864816,30.0,3.0,0.005,0.0015
126,427,1.3954248366013071,0.45433255269320844,-0.021627464146617426,-0.0257607649287509,-4.85119143599571e-05,2.072599531615925,30.0,3.0,0.005,0.002
127,326,1.065359477124183,0.43558282208588955,-0.010717163018105436,-0.012778988666772406,-3.0324981863487484e-05,2.088957055214724,30.0,3.0,0.005,0.0025
144,812,2.65359477124183,0.4642857142857143,-0.06898751501395883,-0.08178488291796904,-8.4022446011501e-05,2.1933497536945814,35.0,2.0,0.002,0.001
145,577,1.8856209150326797,0.4800693240901213,-0.0043561224690231715,-0.0051973919515466704,-4.1418486282150385e-06,2.0779896013864816,35.0,2.0,0.002,0.0015
146,427,1.3954248366013071,0.45433255269320844,-0.021627464146617426,-0.0257607649287509,-4.85119143599571e-05,2.072599531615925,35.0,2.0,0.002,0.002
147,326,1.065359477124183,0.43558282208588955,-0.010717163018105436,-0.012778988666772406,-3.0324981863487484e-05,2.088957055214724,35.0,2.0,0.002,0.0025
164,812,2.65359477124183,0.4642857142857143,-0.06898751501395883,-0.08178488291796904,-8.4022446011501e-05,2.1933497536945814,35.0,3.0,0.003,0.001
165,577,1.8856209150326797,0.4800693240901213,-0.0043561224690231715,-0.0051973919515466704,-4.1418486282150385e-06,2.0779896013864816,35.0,3.0,0.003,0.0015
166,427,1.3954248366013071,0.45433255269320844,-0.021627464146617426,-0.0257607649287509,-4.85119143599571e-05,2.072599531615925,35.0,3.0,0.003,0.002
167,326,1.065359477124183,0.43558282208588955,-0.010717163018105436,-0.012778988666772406,-3.0324981863487484e-05,2.088957055214724,35.0,3.0,0.003,0.0025
184,826,2.6993464052287583,0.4612590799031477,-0.07307626263066402,-0.08659619053593537,-8.765109885792035e-05,2.301452784503632,35.0,4.0,0.004,0.001
185,591,1.9313725490196079,0.47715736040609136,-0.006147354060087484,-0.007333276331231375,-6.746775873509843e-06,2.22165820642978,35.0,4.0,0.004,0.0015
186,438,1.4313725490196079,0.4497716894977169,-0.02483176043874491,-0.029568134019086756,-5.4354371879973344e-05,2.2648401826484017,35.0,4.0,0.004,0.002
187,340,1.1111111111111112,0.4264705882352941,-0.00893626133421388,-0.010657316372074233,-2.3353401102490802e-05,2.3117647058823527,35.0,4.0,0.004,0.0025
204,826,2.6993464052287583,0.4612590799031477,-0.07307626263066402,-0.08659619053593537,-8.765109885792035e-05,2.301452784503632,40.0,2.0,0.005,0.001
205,591,1.9313725490196079,0.47715736040609136,-0.006147354060087484,-0.007333276331231375,-6.746775873509843e-06,2.22165820642978,40.0,2.0,0.005,0.0015
206,438,1.4313725490196079,0.4497716894977169,-0.02483176043874491,-0.029568134019086756,-5.4354371879973344e-05,2.2648401826484017,40.0,2.0,0.005,0.002
207,340,1.1111111111111112,0.4264705882352941,-0.00893626133421388,-0.010657316372074233,-2.3353401102490802e-05,2.3117647058823527,40.0,2.0,0.005,0.0025
224,826,2.6993464052287583,0.4612590799031477,-0.07307626263066402,-0.08659619053593537,-8.765109885792035e-05,2.301452784503632,40.0,4.0,0.002,0.001
225,591,1.9313725490196079,0.47715736040609136,-0.006147354060087484,-0.007333276331231375,-6.746775873509843e-06,2.22165820642978,40.0,4.0,0.002,0.0015
226,438,1.4313725490196079,0.4497716894977169,-0.02483176043874491,-0.029568134019086756,-5.4354371879973344e-05,2.2648401826484017,40.0,4.0,0.002,0.002
227,340,1.1111111111111112,0.4264705882352941,-0.00893626133421388,-0.010657316372074233,-2.3353401102490802e-05,2.3117647058823527,40.0,4.0,0.002,0.0025
8,729,2.3823529411764706,0.48010973936899864,-0.05475102959778344,-0.06500069395487462,-7.352758447016126e-05,1.9602194787379972,20.0,2.0,0.004,0.001
9,486,1.588235294117647,0.49176954732510286,-0.02006651254245262,-0.023905155172002313,-3.8696099905017666e-05,1.8292181069958848,20.0,2.0,0.004,0.0015
10,350,1.1437908496732025,0.4714285714285714,-0.031896048212794126,-0.03795341061990931,-9.04970582820764e-05,1.737142857142857,20.0,2.0,0.004,0.002
11,255,0.8333333333333334,0.4549019607843137,-0.019672262919104178,-0.023436393149991797,-7.591412589614375e-05,1.6470588235294117,20.0,2.0,0.004,0.0025
28,729,2.3823529411764706,0.48010973936899864,-0.05475102959778344,-0.06500069395487462,-7.352758447016126e-05,1.9602194787379972,20.0,3.0,0.005,0.001
29,486,1.588235294117647,0.49176954732510286,-0.02006651254245262,-0.023905155172002313,-3.8696099905017666e-05,1.8292181069958848,20.0,3.0,0.005,0.0015
30,350,1.1437908496732025,0.4714285714285714,-0.031896048212794126,-0.03795341061990931,-9.04970582820764e-05,1.737142857142857,20.0,3.0,0.005,0.002
31,255,0.8333333333333334,0.4549019607843137,-0.019672262919104178,-0.023436393149991797,-7.591412589614375e-05,1.6470588235294117,20.0,3.0,0.005,0.0025
48,729,2.3823529411764706,0.48010973936899864,-0.05475102959778344,-0.06500069395487462,-7.352758447016126e-05,1.9602194787379972,25.0,2.0,0.002,0.001
49,486,1.588235294117647,0.49176954732510286,-0.02006651254245262,-0.023905155172002313,-3.8696099905017666e-05,1.8292181069958848,25.0,2.0,0.002,0.0015
50,350,1.1437908496732025,0.4714285714285714,-0.031896048212794126,-0.03795341061990931,-9.04970582820764e-05,1.737142857142857,25.0,2.0,0.002,0.002
51,255,0.8333333333333334,0.4549019607843137,-0.019672262919104178,-0.023436393149991797,-7.591412589614375e-05,1.6470588235294117,25.0,2.0,0.002,0.0025
68,774,2.5294117647058822,0.4715762273901809,-0.0638026018924106,-0.0756778120467465,-8.155443651285383e-05,2.112403100775194,25.0,3.0,0.003,0.001
69,539,1.761437908496732,0.48794063079777367,-0.018645174213441695,-0.02221501531810821,-3.193994725188099e-05,1.9833024118738405,25.0,3.0,0.003,0.0015
70,393,1.2843137254901962,0.4631043256997455,-0.042778949900724506,-0.050848170707962326,-0.00010905065946373706,1.9516539440203562,25.0,3.0,0.003,0.002
71,294,0.9607843137254902,0.4489795918367347,-0.027099505460665085,-0.032261222808911416,-9.138146836827923e-05,1.9285714285714286,25.0,3.0,0.003,0.0025
88,774,2.5294117647058822,0.4715762273901809,-0.0638026018924106,-0.0756778120467465,-8.155443651285383e-05,2.112403100775194,25.0,4.0,0.004,0.001
89,539,1.761437908496732,0.48794063079777367,-0.018645174213441695,-0.02221501531810821,-3.193994725188099e-05,1.9833024118738405,25.0,4.0,0.004,0.0015
90,393,1.2843137254901962,0.4631043256997455,-0.042778949900724506,-0.050848170707962326,-0.00010905065946373706,1.9516539440203562,25.0,4.0,0.004,0.002
91,294,0.9607843137254902,0.4489795918367347,-0.027099505460665085,-0.032261222808911416,-9.138146836827923e-05,1.9285714285714286,25.0,4.0,0.004,0.0025
108,774,2.5294117647058822,0.4715762273901809,-0.0638026018924106,-0.0756778120467465,-8.155443651285383e-05,2.112403100775194,30.0,2.0,0.005,0.001
109,539,1.761437908496732,0.48794063079777367,-0.018645174213441695,-0.02221501531810821,-3.193994725188099e-05,1.9833024118738405,30.0,2.0,0.005,0.0015
110,393,1.2843137254901962,0.4631043256997455,-0.042778949900724506,-0.050848170707962326,-0.00010905065946373706,1.9516539440203562,30.0,2.0,0.005,0.002
111,294,0.9607843137254902,0.4489795918367347,-0.027099505460665085,-0.032261222808911416,-9.138146836827923e-05,1.9285714285714286,30.0,2.0,0.005,0.0025
128,811,2.650326797385621,0.4636251541307028,-0.06917197329399671,-0.08200202677892077,-8.437039699230555e-05,2.19482120838471,30.0,4.0,0.002,0.001
129,577,1.8856209150326797,0.4800693240901213,-0.0043561224690231715,-0.0051973919515466704,-4.1418486282150385e-06,2.0779896013864816,30.0,4.0,0.002,0.0015
130,427,1.3954248366013071,0.45433255269320844,-0.021627464146617426,-0.0257607649287509,-4.85119143599571e-05,2.072599531615925,30.0,4.0,0.002,0.002
131,326,1.065359477124183,0.43558282208588955,-0.010717163018105436,-0.012778988666772406,-3.0324981863487484e-05,2.088957055214724,30.0,4.0,0.002,0.0025
148,811,2.650326797385621,0.4636251541307028,-0.06917197329399671,-0.08200202677892077,-8.437039699230555e-05,2.19482120838471,35.0,2.0,0.003,0.001
