strategy_idx,strategy_name,trades,trades_per_day,win_rate,total_return,annual_return,avg_return,avg_bars_held,sr_period,min_touches,bounce_threshold,target_threshold
33,SPY_15m_compiled_strategy_33,1219,3.9836601307189543,0.5028712059064807,-0.11307107954281626,-0.13343995539090392,-9.474027691605609e-05,2.411812961443806,30.0,4.0,0.004,0.001
34,SPY_15m_compiled_strategy_34,981,3.2058823529411766,0.5035677879714577,-0.07956135644099782,-0.09421889449827181,-8.040321306001834e-05,2.326197757390418,30.0,4.0,0.004,0.0015
35,SPY_15m_compiled_strategy_35,778,2.542483660130719,0.4922879177377892,-0.06095391470713618,-0.07231968345152973,-7.656272947037654e-05,2.269922879177378,30.0,4.0,0.004,0.002
36,SPY_15m_compiled_strategy_36,588,1.9215686274509804,0.47619047619047616,-0.0896140243149588,-0.10601443212995565,-0.00015471326710289013,2.29421768707483,30.0,4.0,0.004,0.0025
37,SPY_15m_compiled_strategy_37,487,1.591503267973856,0.4784394250513347,-0.060659743665411825,-0.07197279222011332,-0.00012304278148944452,2.248459958932238,30.0,4.0,0.004,0.003
38,SPY_15m_compiled_strategy_38,315,1.0294117647058822,0.48253968253968255,-0.0008521365134581682,-0.0010170496032176901,3.1272767563708375e-06,2.2444444444444445,30.0,4.0,0.004,0.004
39,SPY_15m_compiled_strategy_39,220,0.7189542483660131,0.45,-0.035422124050288106,-0.04213442094617825,-0.0001604688917200416,2.081818181818182,30.0,4.0,0.004,0.005
40,SPY_15m_compiled_strategy_40,1425,4.6568627450980395,0.5214035087719299,-0.08098442158373287,-0.0958902042795865,-5.543093297616713e-05,2.7494736842105265,30.0,4.0,0.005,0.0005
41,SPY_15m_compiled_strategy_41,1198,3.915032679738562,0.5008347245409015,-0.15388659234301205,-0.1808248725901318,-0.00013560245816005584,2.48330550918197,30.0,4.0,0.005,0.001
42,SPY_15m_compiled_strategy_42,963,3.1470588235294117,0.4984423676012461,-0.12082325228122026,-0.1424729876654125,-0.00012935117413559206,2.3904465212876427,30.0,4.0,0.005,0.0015
43,SPY_15m_compiled_strategy_43,763,2.4934640522875817,0.49017038007863695,-0.08943669856010461,-0.10580658034736778,-0.00011830429092562543,2.325032765399738,30.0,4.0,0.005,0.002
44,SPY_15m_compiled_strategy_44,575,1.8790849673202614,0.47130434782608693,-0.12083235234523448,-0.1424835822620374,-0.00021874119459613242,2.373913043478261,30.0,4.0,0.005,0.0025
45,SPY_15m_compiled_strategy_45,485,1.5849673202614378,0.47216494845360824,-0.09089662816856459,-0.10751759840925412,-0.00019079200477576058,2.3092783505154637,30.0,4.0,0.005,0.003
46,SPY_15m_compiled_strategy_46,317,1.0359477124183007,0.4794952681388013,-0.016193296036386196,-0.01929832745800597,-4.544698267620234e-05,2.277602523659306,30.0,4.0,0.005,0.004
