entry_idx,exit_idx,entry_price,exit_price,direction,volatility,volatility_regime,volume_ratio,volume_regime,trend_strength,trend_regime,trend_direction,vwap_distance,time_of_day,atr,return_bps,vwap_position,time_period
4860,4861,545.0999,545.16,long,0.38140551623214775,Low,1.2111505175141526,High,-0.14326723412388506,Neutral,1,-0.1364402153822226,16.916666666666668,0.3575357142857131,1.1024342922405554,Below,
4862,4882,544.37,544.41,long,0.4035477425114788,Low,1.9633000942656134,High,-0.25514213170429306,Neutral,1,-0.25103348592345803,17.083333333333332,0.41824999999999235,0.7347306162485289,Below,
4888,4890,544.1201,544.23,long,0.35525647054005427,Low,0.9020497648679267,Medium,0.017158163480397087,Neutral,-1,-0.14415884721855074,19.25,0.37017857142857175,2.0194697528583734,Below,
4893,4904,544.075,543.85,long,0.3228120476707405,Low,1.4844738785137164,High,0.002111885798055887,Neutral,-1,-0.13021630412420812,19.666666666666668,0.38658571428571314,-4.136107786985118,Below,
4932,4942,543.581,543.37,long,0.31856343928542924,Low,2.073508779675148,High,-0.075640751504503,Neutral,1,-0.07794978482495245,16.333333333333332,0.30915000000000453,-3.8822256504704993,Near,
4943,4944,543.23,543.31,long,0.4090753526252925,Low,2.7356535011978425,High,-0.05598726601085895,Neutral,-1,-0.07439347255051569,17.25,0.43389285714286124,1.4724906610797373,Near,
4953,4961,544.13,544.11,short,0.42129772035925167,Low,0.5509757553903997,Low,0.12913572544555943,Neutral,-1,0.08792071320234228,18.083333333333332,0.3279642857142936,0.3675475998347831,Near,
4963,4972,544.425,544.52,short,0.366018066730979,Low,1.9363302845973187,High,0.061887015834985494,Neutral,1,0.11545315870100979,18.916666666666668,0.34309999999999263,-1.744720812182181,Above,
4974,4977,544.576,543.675,short,0.3892642582834609,Low,1.843899116640379,High,0.00957625630561142,Neutral,1,0.10949667835002787,19.833333333333332,0.35964285714287925,16.557855786225076,Above,
4977,4980,543.675,544.07,long,0.4831143825403197,Medium,1.5098106873151573,High,-0.15221289408620176,Neutral,1,-0.0725904244632768,13.5,0.4371428571428981,7.262368797132841,Near,Midday
4987,4988,544.639,543.805,short,0.46864083348951235,Medium,0.655019710625633,Medium,0.043575353882703026,Neutral,1,0.10325582655656444,14.333333333333334,0.511321428571445,15.32386531982675,Above,Midday
4996,4998,543.685,543.895,long,0.5711961035650323,Medium,0.7523131589601909,Medium,-0.07858208386381203,Neutral,-1,-0.09052343297438181,15.083333333333334,0.47627857142856556,3.8615918389415986,Near,Close
5004,5015,544.62,544.63,short,0.5327134245097677,Medium,0.5742495251490914,Low,0.09264478310002841,Neutral,-1,0.11734162970817671,15.75,0.44991428571428776,-0.18360339683804147,Above,Close
5021,5022,544.94,544.25,short,0.46338733432261736,Medium,0.5066178739952636,Low,0.015555507775296632,Neutral,1,0.06718307053739644,17.166666666666668,0.37713571428569787,12.669333950900292,Near,
5040,5041,545.0325,544.875,short,0.4238004421073205,Low,1.2706831355441337,High,0.07282480311112688,Neutral,1,0.08317394036428635,18.75,0.3124642857142947,2.8900090346442115,Near,
5053,5072,545.56,545.83,short,0.4362072054799229,Medium,5.496629005903904,High,0.1579577058808269,Neutral,-1,0.16593593675169913,19.833333333333332,0.36780000000001273,-4.947571546522953,Above,
5080,5081,544.86,545.11,long,0.48337291004578836,Medium,2.507929959178679,High,-0.21325054338231048,Neutral,1,-0.13931081916804006,15.5,0.4381428571428663,4.587052935104612,Below,Close
5082,5083,544.835,545.15,long,0.48462337137106887,Medium,0.6753899189649829,Medium,-0.19740337579646647,Neutral,1,-0.12050722568772726,15.666666666666666,0.45385714285714585,5.779607219712288,Below,Close
5090,5091,545.89,545.86,short,0.37255975613696535,Low,0.7184546003089302,Medium,0.07309924769644792,Neutral,-1,0.08043551454196336,16.333333333333332,0.38500000000000717,0.5495488895356839,Near,
5092,5093,545.94,545.88,short,0.33246435903902716,Low,0.8566888409586694,Medium,0.08419178861950875,Neutral,-1,0.08283288135393263,16.5,0.3842785714285729,1.0990273133018857,Near,
5094,5095,545.94,545.83,short,0.3137933739707629,Low,0.7646892105447902,Medium,0.08327440267688052,Neutral,-1,0.07855113190150184,16.666666666666668,0.31570714285714985,2.0149756885094634,Near,
5096,5097,545.95,545.66,short,0.31426188080349293,Low,0.4169912662060069,Low,0.07951183855660246,Neutral,-1,0.07765866692929545,16.833333333333332,0.2807071428571654,5.312987364024087,Near,
5098,5100,546.01,545.92,short,0.34835003712380835,Low,0.802931938624813,Medium,0.08684115858478615,Neutral,-1,0.08583649082861028,17.0,0.2948500000000292,1.6483748995598568,Near,
5102,5108,546.06,546.06,short,0.2939251747840191,Low,0.590000176488237,Low,0.06333899777419777,Neutral,-1,0.09063277466865134,17.333333333333332,0.29806428571432014,-0.0,Near,
5110,5111,545.2101,545.34,long,0.37185868729528854,Low,2.525458872581985,High,-0.13389814273097864,Neutral,1,-0.07147320591869664,18.0,0.34950000000002646,2.3821648471596912,Near,
5112,5119,545.11,545.1404,long,0.38124137765473565,Low,1.0086459296157737,Medium,-0.1398867783687735,Neutral,1,-0.08705778419698383,18.166666666666668,0.35464285714287563,0.5576421711543913,Near,
5133,5153,546.35,547.86,short,0.5298219281536714,Medium,6.3055796788510765,High,0.1771274999416803,Neutral,-1,0.14302097839359462,19.916666666666668,0.4016428571428605,-27.59845840357389,Above,
5157,5158,548.05,547.7301,short,0.8423463220050222,High,0.8283092183269115,Medium,-0.14831268731243977,Neutral,1,-0.06342295114061519,15.333333333333334,0.6454571428571236,5.838470950287146,Near,Close
5159,5161,548.1,547.81,short,0.8593120417455351,High,0.5041810204430839,Low,-0.13638370979358613,Neutral,1,-0.04224393548782542,15.5,0.6180571428571316,5.292140901510853,Near,Close
5166,5170,546.91,546.97,long,0.5799440377120144,Medium,1.1035254658154898,High,-0.23777323763667096,Neutral,1,-0.22866659854393775,16.083333333333332,0.5495999999999981,1.0969576198517466,Below,
5171,5178,546.61,546.85,long,0.5145187047267143,Medium,1.0200015317528723,Medium,-0.16517466468984351,Neutral,-1,-0.2248049732443378,16.5,0.5328142857142909,4.389515919262072,Below,
5182,5189,546.28,546.4,long,0.5598930983681429,Medium,0.6184822864941512,Low,-0.0735665105598251,Neutral,-1,-0.18787090417895938,17.416666666666668,0.4842785714285794,2.1963246418433324,Below,
5190,5191,546.3199,546.47,long,0.519067294515447,Medium,1.7068342966334507,High,0.0033763409983831667,Neutral,-1,-0.14633718244065652,18.083333333333332,0.36999999999999644,2.746959794264611,Below,
5192,5214,546.275,545.5,long,0.42436573260728505,Low,0.7973484163186078,Medium,-0.007542335303780863,Neutral,-1,-0.15046363708216973,18.25,0.33571428571428086,-14.196356944709828,Below,
5217,5220,544.39,544.96,long,0.7591134982292895,High,0.36502223853941884,Low,-0.0748314493556631,Neutral,-1,-0.20527210490416745,13.75,0.8008642857142669,10.464433873726028,Below,Midday
5221,5237,544.79,544.22,long,0.7681539107981126,High,0.2297989711488906,Low,0.008897797823483745,Neutral,-1,-0.12570274436623444,14.083333333333334,0.7478214285714232,-10.467700977026754,Below,Midday
5240,5241,543.7099,544.04,long,1.0733222050163571,High,0.6939244878904397,Medium,0.007248876060934501,Neutral,-1,0.03241641952887464,15.666666666666666,0.6166071428571627,6.069106604983403,Near,Close
5249,5250,545.21,545.01,short,0.5477770524354458,Medium,0.9543947786029785,Medium,0.20516778824279727,Neutral,-1,0.22513621839949238,16.416666666666668,0.4704928571428419,3.668800833657436,Above,
5251,5253,545.2199,545.06,short,0.5175594502022706,Medium,1.1695615667936397,High,0.168879080421526,Neutral,-1,0.21367818568800348,16.583333333333332,0.43013571428569514,2.93304510422495,Above,
