strategy_id,period,multiplier,trades,win_rate,avg_return_pct,total_return_pct,annual_return_pct,compound_annual_pct
137,24,2.0,856,67.40654205607477,-0.002394236057544314,-2.0494660652579335,-2.4247204152347384,-2.591016610518393
138,25,2.0,866,67.55196304849885,-0.0030498481550249477,-2.6411685022516047,-3.124762735058237,-3.279180591862152
139,26,2.0,870,67.70114942528735,-0.003904565609592363,-3.396972080345356,-4.018952883788872,-4.146003549602595
14,24,0.5,1684,74.98514557338086,0.009590695441677424,16.141140428343075,19.09656050677209,20.17162892469859
140,27,2.0,884,66.17647058823529,-0.003922268614035786,-3.4672854548076346,-4.1021405380822715,-4.229713464502138
141,28,2.0,896,67.63392857142857,-0.00374228211303164,-3.3530847732763505,-3.9670298726086397,-4.115254971995053
142,29,2.0,888,67.9054054054054,-0.005141655461904329,-4.565790050171045,-5.4017797776671514,-5.488231651870934
143,30,2.0,887,67.3055242390079,-0.004879361135899711,-4.327993327543042,-5.120442810050923,-5.2221901467518705
144,31,2.0,897,67.55852842809364,-0.005314629971470834,-4.767223084409338,-5.640094916765976,-5.713025245431669
145,32,2.0,907,67.69570011025358,-0.0036798362107577603,-3.3376114431572916,-3.9487233975382043,-4.103998192466751
146,33,2.0,917,68.70229007633588,-0.0024262243914459514,-2.2248477669559357,-2.632214259497163,-2.840839368331338
147,34,2.0,921,69.92399565689468,-0.0034013239696589178,-3.1326193760558665,-3.7061975716717295,-3.8983454973346654
148,35,2.0,925,70.37837837837839,-0.003010615203869339,-2.784819063579139,-3.294715511840108,-3.5012088648579076
149,36,2.0,924,70.77922077922078,-0.0034289299864024647,-3.168331307435878,-3.748448307388926,-3.94513330612446
15,25,0.5,1651,75.27272727272727,0.011000620646663366,18.151024066994538,21.474451008838606,23.052819194230544
150,37,2.0,913,71.74151150054765,-0.0035945833256447765,-3.281854576313683,-3.882757526906329,-4.092601578316968
151,38,2.0,913,71.52245345016429,-0.0025683596065851732,-2.3449123208122624,-2.7742624640595777,-3.028806851723387
152,39,2.0,910,71.94719471947195,-0.004812542976562358,-4.374601565695175,-5.175584950963306,-5.342632987187102
153,40,2.0,897,71.65178571428571,-0.005384140959870263,-4.824190300043751,-5.707492749347537,-5.848501504199522
154,41,2.0,895,72.03579418344519,-0.004648577058891272,-4.155827890648788,-4.916754124147863,-5.10391890408447
155,42,2.0,895,72.7069351230425,-0.005872693624694885,-5.250188100477229,-6.211490147043482,-6.32361661615688
156,43,2.0,880,72.92377701934016,-0.0047123986392254786,-4.142198403879198,-4.900629097547221,-5.090241536318918
157,44,2.0,874,73.42497136311569,-0.003836498351040951,-3.349263060458748,-3.9625084095568286,-4.219595101787165
158,45,2.0,873,73.5091743119266,-0.004217034418043939,-3.6772540125343136,-4.350554042998343,-4.598183653078236
159,46,2.0,864,73.34878331402086,-0.005026527988597709,-4.337893654159821,-5.132155872527112,-5.347003320509325
16,26,0.5,1614,75.44947303161811,0.012820419068919743,20.679335958167535,24.465693246282715,26.785983835485826
160,47,2.0,859,73.42657342657343,-0.00619570193646507,-5.315912261487024,-6.28924830936493,-6.440287506304143
161,48,2.0,868,74.2791234140715,-0.003642623523920341,-3.1581545952389365,-3.7364082535221224,-4.028389083213635
162,49,2.0,875,74.02745995423341,-0.0023953821640989316,-2.0935640114224623,-2.476892633232209,-2.8122363223301194
163,50,2.0,869,74.19354838709677,-0.0023549794307913025,-2.0441221459268477,-2.4183980318007774,-2.755818974463742
164,10,2.5,80,55.00000000000001,0.0005277286448521687,0.042218291588173903,0.04994840131558603,0.03764086556254931
165,11,2.5,126,57.936507936507944,-0.0025785329482554864,-0.3248951514801914,-0.3843829961174095,-0.4004138259284584
166,12,2.5,170,58.82352941176471,0.0031945590474978178,0.5430750380746282,0.6425113126516728,0.6185672938343822
167,13,2.5,207,58.454106280193244,-0.0015430652434009224,-0.31941450538399074,-0.3778988514402144,-0.4094088458437617
168,14,2.5,256,60.15625,-5.524774486338963e-05,-0.014143422685028295,-0.016733063458343335,-0.06696676152865289
169,15,2.5,293,59.044368600682596,-0.0014780950273162055,-0.4330818430036477,-0.5123785184831888,-0.5728473653841104
17,27,0.5,1580,75.55414819506016,0.011485737393815875,18.135979344835263,21.45665161924172,23.029621014130065
170,16,2.5,335,62.089552238805965,0.007135546264123099,2.3904079984812348,2.82808833623132,2.7850451020470013
171,17,2.5,371,60.37735849056604,-0.0014089564219274624,-0.522722832535087,-0.6184326469429198,-0.7103663022461459
172,18,2.5,398,63.06532663316583,-0.004361743255650837,-1.7359738157490308,-2.053828176379135,-2.1386903154642978
173,19,2.5,416,63.70192307692307,-0.002372822981455686,-0.9870943602855687,-1.1678299473801095,-1.2866774525953306
174,20,2.5,434,61.52073732718893,-0.00750237548637817,-3.2560309610881277,-3.852205644104264,-3.916593150605918
175,21,2.5,463,65.01079913606912,-0.005165897374523207,-2.3918104844042456,-2.829747615351502,-2.9208189269250173
176,22,2.5,502,61.75298804780876,-0.004860097830506072,-2.4397691109140474,-2.886487398827887,-2.980420673241768
177,23,2.5,532,63.53383458646616,0.000466679521888342,0.24827350564459583,0.29373203484712745,0.14998317917589432
178,24,2.5,535,63.925233644859816,0.0012135634845871124,0.6492564642541012,0.7681344084133029,0.6235013926215061
179,25,2.5,557,63.73429084380611,-0.00018305447895105233,-0.10196134477573741,-0.12063032339664707,-0.2691567987160415
18,28,0.5,1563,75.67221510883483,0.011493687472044517,17.953139831333527,21.240334448338256,22.796736685440735
180,26,2.5,587,64.90630323679727,0.000815465562623526,0.4786782852600079,0.5663236050963474,0.4182399901941247
181,27,2.5,598,66.72240802675586,0.0006582264118632231,0.3936193942942073,0.46569055099596357,0.31721255821823835
182,28,2.5,616,66.88311688311688,-0.0006884837533012055,-0.4241059920335452,-0.5017592018425042,-0.6534337782179711
183,29,2.5,626,67.89137380191693,-0.00223695376468977,-1.4003330566957966,-1.6567320670767172,-1.800939723668793
184,30,2.5,656,68.75,-0.0014595301790898837,-0.9574517974829617,-1.1327598730784336,-1.2855597181881895
185,31,2.5,660,67.27272727272727,-0.0014348757814196687,-0.9470180157369821,-1.120415680590232,-1.2835952516651816
186,32,2.5,675,67.11111111111111,-0.0007475003023670082,-0.5045627040977316,-0.5969474245663303,-0.7658321501909371
187,33,2.5,700,66.85714285714286,-0.00034682433249618984,-0.24277703274733306,-0.28722916550388705,-0.45943819175394696
188,34,2.5,703,67.56756756756756,3.6753144705863406e-05,0.025837460728220588,0.03056826339676802,-0.1460450569065075
189,35,2.5,708,67.93785310734464,0.0007453882167961736,0.5277348574916876,0.6243623666098839,0.45252285041406104
19,29,0.5,1556,75.56270096463022,0.00887943919369001,13.807527946187953,16.335666865912508,16.95604976647371
190,36,2.5,712,68.1179775280899,0.0016038905217754336,1.1419700515041118,1.3510631595259912,1.180200747828608
191,37,2.5,709,68.68829337094499,-0.0025820615629422025,-1.8306816481260229,-2.165876879473041,-2.351174214779983
192,38,2.5,724,69.06077348066299,-0.00157453299186709,-1.1399618861117753,-1.34868730187872,-1.550928057542289
193,39,2.5,726,70.11019283746556,-0.0016704309831904374,-1.212732893796261,-1.434782578575858,-1.6454462359989153
194,40,2.5,723,68.74135546334716,-0.0023650610893674586,-1.7099391676126774,-2.0230266208375336,-2.2239294108817753
195,41,2.5,730,69.86301369863014,-0.0025218153019633776,-1.8409251704332699,-2.177995976287249,-2.3812358669535794
196,42,2.5,732,70.21857923497268,-0.0027698346910989074,-2.027518993884405,-2.3987548660040847,-2.6039327299618664
197,43,2.5,746,70.91152815013405,-0.001160279280766993,-0.8655683434521836,-1.0240526880279357,-1.2611509814808408
198,44,2.5,740,70.4054054054054,-0.0033053295863603536,-2.4459438939066676,-2.8937927758895787,-3.1068259393880693
199,45,2.5,737,70.69199457259158,-0.004272720657394274,-3.148995124499588,-3.7255716965910617,-3.9191603275835263
