strategy_idx,sr_period,min_touches,entry_zone,exit_zone,min_range,total_trades,avg_return_bps,win_rate,long_trades,short_trades,long_return_bps,short_return_bps
92,10,2,0.003,0.0025,0.002,930,-0.6761603047187975,0.4806451612903226,514,416,-0.5980559002301068,-0.7726643044956896
93,10,2,0.003,0.0025,0.003,930,-0.6761603047187975,0.4806451612903226,514,416,-0.5980559002301068,-0.7726643044956896
94,10,2,0.003,0.0025,0.004,930,-0.6761603047187975,0.4806451612903226,514,416,-0.5980559002301068,-0.7726643044956896
95,10,2,0.003,0.0025,0.005,930,-0.6761603047187975,0.4806451612903226,514,416,-0.5980559002301068,-0.7726643044956896
96,10,2,0.003,0.003,0.002,590,-1.0301144868493257,0.4694915254237288,305,285,-1.0384647915989509,-1.0211781958014814
97,10,2,0.003,0.003,0.003,590,-1.0301144868493257,0.4694915254237288,305,285,-1.0384647915989509,-1.0211781958014814
98,10,2,0.003,0.003,0.004,590,-1.0301144868493257,0.4694915254237288,305,285,-1.0384647915989509,-1.0211781958014814
99,10,2,0.003,0.003,0.005,590,-1.0301144868493257,0.4694915254237288,305,285,-1.0384647915989509,-1.0211781958014814
100,10,3,0.001,0.001,0.002,3118,-0.900314852793712,0.47851186658114175,1619,1499,-0.8244558265277969,-0.9822466496746437
101,10,3,0.001,0.001,0.003,2689,-1.027563961571564,0.4730383042023057,1274,1415,-1.0020813293313198,-1.0505073350514729
102,10,3,0.001,0.001,0.004,2049,-0.9244405503462442,0.47242557345046365,969,1080,-1.1696936051631488,-0.7043940594966324
103,10,3,0.001,0.001,0.005,1503,-0.8398662714620632,0.46773120425815035,717,786,-0.9864075154266927,-0.7061893351737181
104,10,3,0.001,0.0015,0.002,1747,-1.0122995080177632,0.4527761877504293,850,897,-0.8892243085866923,-1.1289259511798706
105,10,3,0.001,0.0015,0.003,1747,-1.0122995080177632,0.4527761877504293,850,897,-0.8892243085866923,-1.1289259511798706
106,10,3,0.001,0.0015,0.004,1683,-0.9911415369394114,0.45513963161021986,814,869,-0.8531430469227889,-1.1204059453094122
107,10,3,0.001,0.0015,0.005,1360,-0.959102203112833,0.45,658,702,-0.6934504182737676,-1.2081034487312163
108,10,3,0.001,0.002,0.002,1033,-0.568667946091354,0.4530493707647628,500,533,-0.5253401864730902,-0.6093131239696502
109,10,3,0.001,0.002,0.003,1033,-0.568667946091354,0.4530493707647628,500,533,-0.5253401864730902,-0.6093131239696502
110,10,3,0.001,0.002,0.004,1033,-0.568667946091354,0.4530493707647628,500,533,-0.5253401864730902,-0.6093131239696502
111,10,3,0.001,0.002,0.005,1027,-0.5462398056539771,0.45569620253164556,497,530,-0.5127286943385767,-0.5776643760761547
112,10,3,0.001,0.0025,0.002,681,-0.5207594455424176,0.4654919236417034,322,359,-0.1816514273481491,-0.8249176122793379
113,10,3,0.001,0.0025,0.003,681,-0.5207594455424176,0.4654919236417034,322,359,-0.1816514273481491,-0.8249176122793379
114,10,3,0.001,0.0025,0.004,681,-0.5207594455424176,0.4654919236417034,322,359,-0.1816514273481491,-0.8249176122793379
115,10,3,0.001,0.0025,0.005,681,-0.5207594455424176,0.4654919236417034,322,359,-0.1816514273481491,-0.8249176122793379
116,10,3,0.001,0.003,0.002,464,-1.1326035461049146,0.46336206896551724,227,237,-1.124799079024878,-1.1400787107765107
117,10,3,0.001,0.003,0.003,464,-1.1326035461049146,0.46336206896551724,227,237,-1.124799079024878,-1.1400787107765107
118,10,3,0.001,0.003,0.004,464,-1.1326035461049146,0.46336206896551724,227,237,-1.124799079024878,-1.1400787107765107
