strategy,strategy_id,total_changes,long_signals,short_signals,neutral_signals,signal_frequency,trade_count,avg_trade_duration_bars,win_rate,avg_return_per_trade,total_bars,long_bias,base_param_id,filter_id
SPY_5m_compiled_strategy_2491,2491,281,140,0,141,0.017013804795349963,140,2.4,0.5571428571428572,0.004882021004595109,16516,1.0,16,99
SPY_5m_compiled_strategy_1872,1872,301,22,128,151,0.018317916260954234,150,3.3866666666666667,0.62,0.008576254856522686,16432,0.14666666666666667,22,74
SPY_5m_compiled_strategy_746,746,303,73,78,152,0.01835251362810418,151,2.3178807947019866,0.5960264900662252,0.007702290759938149,16510,0.48344370860927155,21,29
SPY_5m_compiled_strategy_972,972,307,24,129,154,0.018683057448880235,153,3.3790849673202614,0.6143790849673203,0.009163464649560981,16432,0.1568627450980392,22,38
SPY_5m_compiled_strategy_1217,1217,312,134,22,156,0.018890772584160814,155,3.6451612903225805,0.6346153846153846,-0.005467593282232735,16516,0.8589743589743589,17,48
SPY_5m_compiled_strategy_835,835,321,21,139,161,0.019340844730975477,160,2.21875,0.5875,0.005038867048820701,16597,0.13125,10,33
SPY_5m_compiled_strategy_2091,2091,325,22,140,163,0.019581852141953366,162,2.7839506172839505,0.6358024691358025,0.008303362719863054,16597,0.13580246913580246,16,83
SPY_5m_compiled_strategy_791,791,333,25,141,167,0.02006386696390914,166,2.789156626506024,0.6325301204819277,0.007516032788391716,16597,0.15060240963855423,16,31
SPY_5m_compiled_strategy_1074,1074,353,176,0,177,0.021324151262534737,176,7.5227272727272725,0.7329545454545454,0.007236516039409689,16554,1.0,24,42
SPY_5m_compiled_strategy_224,224,383,88,103,192,0.02315458557523729,191,10.3717277486911,0.680628272251309,0.001547646643443829,16541,0.4607329842931937,24,8
SPY_5m_compiled_strategy_1118,1118,407,203,0,204,0.024617431803060547,203,4.945812807881773,0.6847290640394089,-0.002424289733239781,16533,1.0,18,44
SPY_5m_compiled_strategy_2242,2242,452,107,119,226,0.027367401307822718,225,4.302222222222222,0.6283185840707964,-0.0116994360433041,16516,0.47345132743362833,17,89
SPY_5m_compiled_strategy_1817,1817,497,30,218,249,0.029930743751881962,248,3.685483870967742,0.6088709677419355,0.000780098911028856,16605,0.12096774193548387,17,72
SPY_5m_compiled_strategy_1417,1417,501,30,220,251,0.03017163504968383,250,3.724,0.604,-8.565609896041826e-05,16605,0.12,17,56
SPY_5m_compiled_strategy_2424,2424,505,252,0,253,0.03050622206113326,252,6.329365079365079,0.7142857142857143,0.006464601528880641,16554,1.0,24,96
SPY_5m_compiled_strategy_510,510,525,110,152,263,0.03163222269084774,262,2.1564885496183206,0.5725190839694656,3.856637379014838e-05,16597,0.4198473282442748,10,20
SPY_5m_compiled_strategy_1823,1823,529,38,226,265,0.0318578741342969,264,4.712121212121212,0.6439393939393939,0.008023471221213017,16605,0.14393939393939395,23,72
SPY_5m_compiled_strategy_697,697,529,125,139,265,0.03202954710583676,264,3.2196969696969697,0.6022727272727273,1.5345093097535858e-05,16516,0.4734848484848485,22,27
SPY_5m_compiled_strategy_360,360,535,115,152,268,0.032234741218292465,267,2.134831460674157,0.5767790262172284,0.0012908689333978743,16597,0.4307116104868914,10,14
SPY_5m_compiled_strategy_1113,1113,539,269,0,270,0.032595549104983065,269,5.732342007434944,0.6802973977695167,-0.0008107291281369488,16536,1.0,13,44
SPY_5m_compiled_strategy_93,93,571,285,0,286,0.034532809192621715,285,4.3052631578947365,0.6947368421052632,-0.0010735068084581098,16535,1.0,18,3
SPY_5m_compiled_strategy_266,266,587,140,153,294,0.035367837561005,293,2.621160409556314,0.590443686006826,-0.0014780950273162055,16597,0.4778156996587031,16,10
SPY_5m_compiled_strategy_2111,2111,631,36,279,316,0.03800517978678552,315,3.142857142857143,0.6444444444444445,0.005329816927483472,16603,0.11428571428571428,11,84
SPY_5m_compiled_strategy_1711,1711,643,40,281,322,0.03872794073360236,321,3.1682242990654204,0.6355140186915887,0.0025376894842457326,16603,0.12461059190031153,11,68
SPY_5m_compiled_strategy_2284,2284,654,156,174,324,0.03943084529120945,323,15.021671826625386,0.7363636363636363,-0.002095818555774577,16586,0.4727272727272727,9,91
SPY_5m_compiled_strategy_1031,1031,677,338,0,339,0.040950883135736756,338,3.4526627218934913,0.6863905325443787,0.009411724010017075,16532,1.0,6,41
SPY_5m_compiled_strategy_2455,2455,683,341,0,342,0.04135383870186486,341,2.190615835777126,0.6363636363636364,0.007778223781682196,16516,1.0,5,98
SPY_5m_compiled_strategy_2494,2494,689,344,0,345,0.041616332447451075,344,6.3313953488372094,0.75,0.013807999705882812,16556,1.0,19,99
SPY_5m_compiled_strategy_463,463,705,158,194,353,0.04245197808153189,352,9.025568181818182,0.6505681818181818,-0.0046234569913615456,16607,0.44886363636363635,13,18
SPY_5m_compiled_strategy_34,34,735,367,0,368,0.044384057971014496,367,9.610354223433243,0.7493188010899182,0.013634283822688676,16560,1.0,9,1
SPY_5m_compiled_strategy_1187,1187,749,250,125,374,0.04521308704575637,373,3.6193029490616624,0.6666666666666666,-0.0013770332359296644,16566,0.6666666666666666,12,47
SPY_5m_compiled_strategy_1268,1268,759,40,339,380,0.045706371191135735,379,5.089709762532982,0.6886543535620053,0.0034307014940483708,16606,0.10554089709762533,18,50
SPY_5m_compiled_strategy_2463,2463,779,389,0,390,0.04707517524776408,389,4.884318766066838,0.6812339331619537,-0.0010528785076743769,16548,1.0,13,98
SPY_5m_compiled_strategy_2414,2414,809,404,0,405,0.04885265700483092,404,7.126237623762377,0.7648514851485149,0.011543336570937977,16560,1.0,14,96
SPY_5m_compiled_strategy_1480,1480,823,53,358,412,0.049569354935854966,411,2.5182481751824817,0.6301703163017032,0.004203516622416321,16603,0.12895377128953772,5,59
SPY_5m_compiled_strategy_930,930,831,50,365,416,0.05005119556706619,415,2.5012048192771084,0.6337349397590362,0.005474573476922457,16603,0.12048192771084337,5,37
SPY_5m_compiled_strategy_202,202,850,206,222,422,0.05124495086513535,421,7.194774346793349,0.7032710280373832,0.01609994149950019,16587,0.48130841121495327,2,8
SPY_5m_compiled_strategy_1562,1562,861,51,379,431,0.05185185185185185,430,3.9651162790697674,0.6581395348837209,0.00495794000241375,16605,0.1186046511627907,12,62
SPY_5m_compiled_strategy_962,962,870,51,384,435,0.052393857271906055,434,3.9400921658986174,0.6620689655172414,0.00626103610115292,16605,0.11724137931034483,12,38
SPY_5m_compiled_strategy_692,692,871,188,248,435,0.05245408009635652,434,3.5622119815668203,0.6169724770642202,-0.006255310752586017,16605,0.43119266055045874,17,27
SPY_5m_compiled_strategy_894,894,881,66,374,441,0.05304991870897814,440,8.177272727272728,0.725,-0.004946778930686857,16607,0.15,19,35
SPY_5m_compiled_strategy_1394,1394,891,66,379,446,0.05365207442644668,445,8.195505617977528,0.7258426966292135,-0.004745005646368456,16607,0.14831460674157304,19,55
SPY_5m_compiled_strategy_648,648,914,201,256,457,0.05504366154772659,456,4.449561403508772,0.6301969365426696,-4.9336328103957445e-05,16605,0.43982494529540483,23,25
SPY_5m_compiled_strategy_2141,2141,1,0,0,1,0.05555555555555555,0,0.0,0.0,0.0,18,0.5,16,85
SPY_5m_compiled_strategy_2166,2166,1,0,0,1,0.05555555555555555,0,0.0,0.0,0.0,18,0.5,16,86
SPY_5m_compiled_strategy_2191,2191,1,0,0,1,0.05555555555555555,0,0.0,0.0,0.0,18,0.5,16,87
SPY_5m_compiled_strategy_2741,2741,1,0,0,1,0.05555555555555555,0,0.0,0.0,0.0,18,0.5,16,109
SPY_5m_compiled_strategy_1051,1051,933,465,1,467,0.0564325893667211,466,4.201716738197425,0.7081545064377682,0.013634546371557973,16533,0.9978540772532188,1,42
SPY_5m_compiled_strategy_1814,1814,971,66,420,485,0.058444685205248585,485,9.328512396694215,0.7278350515463917,-0.0006241047101624985,16614,0.13580246913580246,14,72
SPY_5m_compiled_strategy_162,162,980,233,258,489,0.05915731015332609,488,4.149590163934426,0.6761710794297352,0.0027057228125518373,16566,0.4745417515274949,12,6
SPY_5m_compiled_strategy_1888,1888,993,56,440,497,0.05979406274462576,496,5.834677419354839,0.6673387096774194,-0.00010452708767411887,16607,0.11290322580645161,13,75
SPY_5m_compiled_strategy_1488,1488,1003,58,443,502,0.060396218462094295,501,5.880239520958084,0.6646706586826348,-0.0020546917518650494,16607,0.1157684630738523,13,59
SPY_5m_compiled_strategy_1688,1688,1012,58,448,506,0.060938158607815984,505,5.867326732673267,0.66600790513834,-0.0003880345222989347,16607,0.11462450592885376,13,67
SPY_5m_compiled_strategy_2458,2458,1027,513,0,514,0.06203938625105715,513,5.557504873294347,0.7270955165692008,0.009448989419161053,16554,1.0,8,98
SPY_5m_compiled_strategy_409,409,1055,125,407,523,0.06350066209221139,523,13.814176245210728,0.71939736346516,-0.003434317065227746,16614,0.2349624060150376,9,16
SPY_5m_compiled_strategy_1181,1181,1102,338,216,548,0.06644558335845643,547,3.3912248628884827,0.6768953068592057,-0.00037032856343242627,16585,0.6101083032490975,6,47
SPY_5m_compiled_strategy_557,557,1131,348,218,565,0.06810791280260146,564,5.904255319148936,0.6484098939929329,-0.002746109278467081,16606,0.6148409893992933,7,22
SPY_5m_compiled_strategy_1934,1934,1153,60,517,576,0.0694076571153383,576,10.057391304347826,0.7569444444444444,0.007451714752802903,16612,0.10398613518197573,9,77
SPY_5m_compiled_strategy_1684,1684,1162,60,522,580,0.0699494341439923,580,10.127806563039723,0.7590361445783133,0.008274743539238167,16612,0.10309278350515463,9,67
SPY_5m_compiled_strategy_809,809,1174,66,522,586,0.07067180351553094,586,10.052991452991453,0.7614991482112436,0.00860445774554369,16612,0.11224489795918367,9,32
SPY_5m_compiled_strategy_1531,1531,1184,63,529,592,0.0713038241493526,591,3.458544839255499,0.668918918918919,0.0034888333171512725,16605,0.10641891891891891,6,61
SPY_5m_compiled_strategy_24,24,1202,252,349,601,0.0723791172397182,600,7.118333333333333,0.6955074875207987,0.0022959739076251523,16607,0.4193011647254576,24,0
SPY_5m_compiled_strategy_644,644,1224,328,285,611,0.07370385981814898,610,8.534426229508197,0.7063621533442088,-0.00287499862438672,16607,0.5350734094616639,19,25
SPY_5m_compiled_strategy_519,519,1258,243,387,628,0.075751189257542,627,8.481658692185007,0.7126984126984127,-0.006917204265426962,16607,0.38571428571428573,19,20
SPY_5m_compiled_strategy_904,904,1285,84,559,642,0.0774516304020252,642,11.151326053042121,0.7570093457943925,0.0003876651162041266,16591,0.13063763608087092,4,36
SPY_5m_compiled_strategy_1279,1279,1300,84,567,649,0.07835573503706829,649,11.243827160493828,0.76,-0.00025910411927848386,16591,0.12903225806451613,4,51
SPY_5m_compiled_strategy_658,658,1313,494,165,654,0.07906304570361895,653,7.7978560490045945,0.701062215477997,0.007530350640038555,16607,0.7496206373292867,8,26
SPY_5m_compiled_strategy_2693,2693,1315,285,373,657,0.07918824521257377,656,4.728658536585366,0.6884498480243161,-0.0006077768395765985,16606,0.4331306990881459,18,107
SPY_5m_compiled_strategy_1833,1833,1327,73,591,663,0.07987239677380523,663,6.389728096676738,0.7285067873303167,0.010520358991134682,16614,0.10993975903614457,8,73
SPY_5m_compiled_strategy_857,857,1337,76,593,668,0.08051306756594002,667,4.43328335832084,0.6771300448430493,0.00333158391206599,16606,0.11360239162929746,7,34
SPY_5m_compiled_strategy_1332,1332,1343,79,593,671,0.08087438275322173,670,4.423880597014925,0.6785714285714286,0.003568177224618992,16606,0.11755952380952381,7,53
SPY_5m_compiled_strategy_505,505,1374,286,402,686,0.08275612841052822,685,2.4043795620437955,0.6395348837209303,0.005482503982230659,16603,0.41569767441860467,5,20
SPY_5m_compiled_strategy_538,538,1467,310,426,731,0.08833624375263444,730,6.068493150684931,0.6684782608695652,-0.004174829766140089,16607,0.421195652173913,13,21
SPY_5m_compiled_strategy_637,637,1500,336,415,749,0.09033423667570009,748,3.7606951871657754,0.6644474034620506,0.001651670691325472,16605,0.4474034620505992,12,25
SPY_5m_compiled_strategy_2694,2694,1510,344,412,754,0.09092551333774915,753,7.50597609561753,0.7235449735449735,-0.0034050246480863025,16607,0.455026455026455,19,107
SPY_5m_compiled_strategy_2637,2637,1535,336,433,766,0.09244203553146643,765,3.7176470588235295,0.6671001300390117,0.001935096575367074,16605,0.43693107932379716,12,105
SPY_5m_compiled_strategy_1553,1553,1578,101,689,788,0.09499157235733205,788,7.567979669631512,0.7325728770595691,0.011827765508574681,16612,0.12784810126582277,3,62
