strategy_id,period,multiplier,filter_id,trades,total_return,annual_return,win_rate
1100,10,1.0,44,566,2.9023636824177514,3.4337823848322695,0.6814159292035398
1110,10,2.0,44,103,1.704475480631173,2.0165625404650496,0.5882352941176471
1120,10,3.0,44,10,0.805386786619698,0.9528519729021779,0.5555555555555556
1130,10,1.5,45,230,1.0968149698951986,1.2976402460731928,0.6331877729257642
1140,10,2.5,45,34,0.6283135013020323,0.743356818441841,0.5151515151515151
1150,10,1.0,46,907,3.7884388452886735,4.48209666203167,0.67439293598234
1160,10,2.0,46,120,1.9488718499132671,2.3057075407424565,0.5966386554621849
1170,10,3.0,46,10,0.805386786619698,0.9528519729021779,0.5555555555555556
1180,10,1.5,47,353,1.0279232819491195,1.216134587094733,0.6306818181818182
1190,10,2.5,47,34,0.6283135013020323,0.743356818441841,0.5151515151515151
1200,10,1.0,48,737,3.7303339935701856,4.413352893801346,0.6725543478260869
1210,10,2.0,48,114,2.055241313677978,2.43155310350634,0.5929203539823009
1220,10,3.0,48,10,0.805386786619698,0.9528519729021779,0.5555555555555556
1230,10,1.5,49,420,1.7607398893234976,2.0831288831432926,0.6348448687350835
1240,10,2.5,49,48,-0.18692399888043879,-0.22114951980220926,0.574468085106383
1250,10,1.0,50,902,6.925339709754791,8.193359656611303,0.6759156492785794
1260,10,2.0,50,161,1.0638709216713957,1.2586641890196795,0.5875
1270,10,3.0,50,18,1.1798371021182716,1.3958636137737297,0.6470588235294118
1280,10,1.5,51,418,2.243181169796766,2.6539044825764555,0.6354916067146283
1290,10,2.5,51,48,-0.18692399888043879,-0.22114951980220926,0.574468085106383
1300,10,1.0,52,897,7.415825013682631,8.773652128863958,0.6752232142857143
1310,10,2.0,52,160,0.964080098589014,1.1406018067813688,0.5849056603773585
1320,10,3.0,52,18,1.1798371021182716,1.3958636137737297,0.6470588235294118
1330,10,1.5,53,420,1.7607398893234976,2.0831288831432926,0.6348448687350835
1340,10,2.5,53,48,-0.18692399888043879,-0.22114951980220926,0.574468085106383
1350,10,1.0,54,902,6.925339709754791,8.193359656611303,0.6759156492785794
1360,10,2.0,54,161,1.0638709216713957,1.2586641890196795,0.5875
1370,10,3.0,54,18,1.1798371021182716,1.3958636137737297,0.6470588235294118
1380,10,1.5,55,418,2.243181169796766,2.6539044825764555,0.6354916067146283
