strategy,total_signals,long_signals,short_signals,neutral_signals,long_pct,short_pct,signal_frequency,avg_trade_duration_bars,freq_bin
SPY_5m_compiled_strategy_909,1153,0,0,0,0.0,0.0,0.0694076571153383,0,5-10%
SPY_5m_compiled_strategy_925,1794,0,0,0,0.0,0.0,0.10803974706413731,0,10-15%
SPY_5m_compiled_strategy_926,1915,0,0,0,0.0,0.0,0.11531976394074431,0,10-15%
SPY_5m_compiled_strategy_927,1796,0,0,0,0.0,0.0,0.1081471668573493,0,10-15%
SPY_5m_compiled_strategy_928,1601,0,0,0,0.0,0.0,0.09637611365278112,0,5-10%
SPY_5m_compiled_strategy_929,1292,0,0,0,0.0,0.0,0.07787354589837864,0,5-10%
SPY_5m_compiled_strategy_930,831,0,0,0,0.0,0.0,0.05005119556706619,0,5-10%
SPY_5m_compiled_strategy_931,1194,0,0,0,0.0,0.0,0.07190605239385728,0,5-10%
SPY_5m_compiled_strategy_932,1333,0,0,0,0.0,0.0,0.08027219077441888,0,5-10%
SPY_5m_compiled_strategy_933,1352,0,0,0,0.0,0.0,0.081377151799687,0,5-10%
SPY_5m_compiled_strategy_934,1168,0,0,0,0.0,0.0,0.07031061882976161,0,5-10%
SPY_5m_compiled_strategy_950,1782,0,0,0,0.0,0.0,0.1073170731707317,0,10-15%
SPY_5m_compiled_strategy_951,1899,0,0,0,0.0,0.0,0.11435625677465976,0,10-15%
SPY_5m_compiled_strategy_952,1776,0,0,0,0.0,0.0,0.10694285542241223,0,10-15%
SPY_5m_compiled_strategy_953,1589,0,0,0,0.0,0.0,0.09565374428124247,0,5-10%
SPY_5m_compiled_strategy_954,1282,0,0,0,0.0,0.0,0.07727080947501658,0,5-10%
SPY_5m_compiled_strategy_955,823,0,0,0,0.0,0.0,0.049569354935854966,0,0-5%
SPY_5m_compiled_strategy_956,1184,0,0,0,0.0,0.0,0.0713038241493526,0,5-10%
SPY_5m_compiled_strategy_957,1319,0,0,0,0.0,0.0,0.07942912200409491,0,5-10%
SPY_5m_compiled_strategy_958,1336,0,0,0,0.0,0.0,0.08041410858312267,0,5-10%
SPY_5m_compiled_strategy_959,1162,0,0,0,0.0,0.0,0.0699494341439923,0,5-10%
