strategy_id,strategy_hash,strategy_type,symbol,timeframe,param_period,param_std_dev,param_fast_period,param_slow_period,param_multiplier,full_config,constraints,trace_path,total_return,sharpe_ratio,max_drawdown,num_trades
SPY_5m_bollinger_bands_17_10,a2cd50f59ab7,bollinger_bands,SPY_5m,1m,,,,,,"{""type"": ""bollinger_bands"", ""parameters"": {""_strategy_type"": ""bollinger_bands""}}",,traces/signals/bollinger_bands/SPY_5m_bollinger_bands_17_10.parquet,0.0868020048207585,0.895664043223159,-0.05501261864183438,3075
SPY_5m_bollinger_bands_17_15,a2cd50f59ab7,bollinger_bands,SPY_5m,1m,,,,,,"{""type"": ""bollinger_bands"", ""parameters"": {""_strategy_type"": ""bollinger_bands""}}",,traces/signals/bollinger_bands/SPY_5m_bollinger_bands_17_15.parquet,0.20517481579638086,2.313853136050524,-0.03697080381035367,2897
SPY_5m_bollinger_bands_17_20,a2cd50f59ab7,bollinger_bands,SPY_5m,1m,,,,,,"{""type"": ""bollinger_bands"", ""parameters"": {""_strategy_type"": ""bollinger_bands""}}",,traces/signals/bollinger_bands/SPY_5m_bollinger_bands_17_20.parquet,0.0627331845939747,1.2806166241930548,-0.043833519437434854,1652
SPY_5m_bollinger_bands_17_25,a2cd50f59ab7,bollinger_bands,SPY_5m,1m,,,,,,"{""type"": ""bollinger_bands"", ""parameters"": {""_strategy_type"": ""bollinger_bands""}}",,traces/signals/bollinger_bands/SPY_5m_bollinger_bands_17_25.parquet,-0.008131305185102411,-0.31739564207403403,-0.02228446408683682,733
SPY_5m_bollinger_bands_17_30,a2cd50f59ab7,bollinger_bands,SPY_5m,1m,,,,,,"{""type"": ""bollinger_bands"", ""parameters"": {""_strategy_type"": ""bollinger_bands""}}",,traces/signals/bollinger_bands/SPY_5m_bollinger_bands_17_30.parquet,0.008083077266787031,0.5726860531076494,-0.015567216391758953,319
SPY_5m_bollinger_bands_18_10,a2cd50f59ab7,bollinger_bands,SPY_5m,1m,,,,,,"{""type"": ""bollinger_bands"", ""parameters"": {""_strategy_type"": ""bollinger_bands""}}",,traces/signals/bollinger_bands/SPY_5m_bollinger_bands_18_10.parquet,0.07274310357733027,0.7580456365113825,-0.06098555679411277,3042
SPY_5m_bollinger_bands_18_15,a2cd50f59ab7,bollinger_bands,SPY_5m,1m,,,,,,"{""type"": ""bollinger_bands"", ""parameters"": {""_strategy_type"": ""bollinger_bands""}}",,traces/signals/bollinger_bands/SPY_5m_bollinger_bands_18_15.parquet,0.17071268097860948,1.940813547247403,-0.034542151100673935,2847
SPY_5m_bollinger_bands_18_20,a2cd50f59ab7,bollinger_bands,SPY_5m,1m,,,,,,"{""type"": ""bollinger_bands"", ""parameters"": {""_strategy_type"": ""bollinger_bands""}}",,traces/signals/bollinger_bands/SPY_5m_bollinger_bands_18_20.parquet,0.07876332057143531,1.5113549562811521,-0.04443254960415988,1661
SPY_5m_bollinger_bands_18_25,a2cd50f59ab7,bollinger_bands,SPY_5m,1m,,,,,,"{""type"": ""bollinger_bands"", ""parameters"": {""_strategy_type"": ""bollinger_bands""}}",,traces/signals/bollinger_bands/SPY_5m_bollinger_bands_18_25.parquet,0.006377266090950906,0.26950126475993197,-0.023020363030601176,743
SPY_5m_bollinger_bands_18_30,a2cd50f59ab7,bollinger_bands,SPY_5m,1m,,,,,,"{""type"": ""bollinger_bands"", ""parameters"": {""_strategy_type"": ""bollinger_bands""}}",,traces/signals/bollinger_bands/SPY_5m_bollinger_bands_18_30.parquet,0.015879501270982033,1.0356663320662838,-0.013853469289197506,327
SPY_5m_bollinger_bands_19_10,a2cd50f59ab7,bollinger_bands,SPY_5m,1m,,,,,,"{""type"": ""bollinger_bands"", ""parameters"": {""_strategy_type"": ""bollinger_bands""}}",,traces/signals/bollinger_bands/SPY_5m_bollinger_bands_19_10.parquet,0.10278925009599926,1.034038086347114,-0.04978263058205201,3016
SPY_5m_bollinger_bands_19_15,a2cd50f59ab7,bollinger_bands,SPY_5m,1m,,,,,,"{""type"": ""bollinger_bands"", ""parameters"": {""_strategy_type"": ""bollinger_bands""}}",,traces/signals/bollinger_bands/SPY_5m_bollinger_bands_19_15.parquet,0.15591538252204207,1.7928991852444713,-0.044684550724457206,2826
SPY_5m_bollinger_bands_19_20,a2cd50f59ab7,bollinger_bands,SPY_5m,1m,,,,,,"{""type"": ""bollinger_bands"", ""parameters"": {""_strategy_type"": ""bollinger_bands""}}",,traces/signals/bollinger_bands/SPY_5m_bollinger_bands_19_20.parquet,0.09809986862906483,1.794671144583829,-0.04168793874101362,1679
SPY_5m_bollinger_bands_19_25,a2cd50f59ab7,bollinger_bands,SPY_5m,1m,,,,,,"{""type"": ""bollinger_bands"", ""parameters"": {""_strategy_type"": ""bollinger_bands""}}",,traces/signals/bollinger_bands/SPY_5m_bollinger_bands_19_25.parquet,0.016896528657157184,0.6457937413674494,-0.02263873512970116,790
SPY_5m_bollinger_bands_19_30,a2cd50f59ab7,bollinger_bands,SPY_5m,1m,,,,,,"{""type"": ""bollinger_bands"", ""parameters"": {""_strategy_type"": ""bollinger_bands""}}",,traces/signals/bollinger_bands/SPY_5m_bollinger_bands_19_30.parquet,0.01379890651258564,0.9012649968101758,-0.013105462783499444,343
SPY_5m_bollinger_bands_20_10,a2cd50f59ab7,bollinger_bands,SPY_5m,1m,,,,,,"{""type"": ""bollinger_bands"", ""parameters"": {""_strategy_type"": ""bollinger_bands""}}",,traces/signals/bollinger_bands/SPY_5m_bollinger_bands_20_10.parquet,0.12281199899034179,1.218805891634397,-0.05867782954811018,2988
SPY_5m_bollinger_bands_20_15,a2cd50f59ab7,bollinger_bands,SPY_5m,1m,,,,,,"{""type"": ""bollinger_bands"", ""parameters"": {""_strategy_type"": ""bollinger_bands""}}",,traces/signals/bollinger_bands/SPY_5m_bollinger_bands_20_15.parquet,0.1337864246248608,1.5508211576720232,-0.04316536683574612,2735
SPY_5m_bollinger_bands_20_20,a2cd50f59ab7,bollinger_bands,SPY_5m,1m,,,,,,"{""type"": ""bollinger_bands"", ""parameters"": {""_strategy_type"": ""bollinger_bands""}}",,traces/signals/bollinger_bands/SPY_5m_bollinger_bands_20_20.parquet,0.08052053619008959,1.4973655697882606,-0.039333508619039725,1686
SPY_5m_bollinger_bands_20_25,a2cd50f59ab7,bollinger_bands,SPY_5m,1m,,,,,,"{""type"": ""bollinger_bands"", ""parameters"": {""_strategy_type"": ""bollinger_bands""}}",,traces/signals/bollinger_bands/SPY_5m_bollinger_bands_20_25.parquet,0.013178093391871037,0.4980596954498443,-0.023058390551175756,785
SPY_5m_bollinger_bands_20_30,a2cd50f59ab7,bollinger_bands,SPY_5m,1m,,,,,,"{""type"": ""bollinger_bands"", ""parameters"": {""_strategy_type"": ""bollinger_bands""}}",,traces/signals/bollinger_bands/SPY_5m_bollinger_bands_20_30.parquet,0.0032932930515434666,0.19611264235754838,-0.021531395723767832,337
SPY_5m_bollinger_bands_21_10,a2cd50f59ab7,bollinger_bands,SPY_5m,1m,,,,,,"{""type"": ""bollinger_bands"", ""parameters"": {""_strategy_type"": ""bollinger_bands""}}",,traces/signals/bollinger_bands/SPY_5m_bollinger_bands_21_10.parquet,0.11267475903054436,1.1224915515980944,-0.05568138317933069,2957
SPY_5m_bollinger_bands_21_15,a2cd50f59ab7,bollinger_bands,SPY_5m,1m,,,,,,"{""type"": ""bollinger_bands"", ""parameters"": {""_strategy_type"": ""bollinger_bands""}}",,traces/signals/bollinger_bands/SPY_5m_bollinger_bands_21_15.parquet,0.17035742307129476,1.8966151173906936,-0.0425541290000786,2715
SPY_5m_bollinger_bands_21_20,a2cd50f59ab7,bollinger_bands,SPY_5m,1m,,,,,,"{""type"": ""bollinger_bands"", ""parameters"": {""_strategy_type"": ""bollinger_bands""}}",,traces/signals/bollinger_bands/SPY_5m_bollinger_bands_21_20.parquet,0.04769370051856159,0.9048226486142772,-0.04477836739343233,1656
SPY_5m_bollinger_bands_21_25,a2cd50f59ab7,bollinger_bands,SPY_5m,1m,,,,,,"{""type"": ""bollinger_bands"", ""parameters"": {""_strategy_type"": ""bollinger_bands""}}",,traces/signals/bollinger_bands/SPY_5m_bollinger_bands_21_25.parquet,-0.014662514555225936,-0.41861116638073603,-0.03207212677759641,770
SPY_5m_bollinger_bands_21_30,a2cd50f59ab7,bollinger_bands,SPY_5m,1m,,,,,,"{""type"": ""bollinger_bands"", ""parameters"": {""_strategy_type"": ""bollinger_bands""}}",,traces/signals/bollinger_bands/SPY_5m_bollinger_bands_21_30.parquet,0.008824139914099582,0.5008702564807634,-0.019332734252727857,365
SPY_5m_bollinger_bands_22_10,a2cd50f59ab7,bollinger_bands,SPY_5m,1m,,,,,,"{""type"": ""bollinger_bands"", ""parameters"": {""_strategy_type"": ""bollinger_bands""}}",,traces/signals/bollinger_bands/SPY_5m_bollinger_bands_22_10.parquet,0.12432303362090935,1.224695231885118,-0.05058135042201806,2897
SPY_5m_bollinger_bands_22_15,a2cd50f59ab7,bollinger_bands,SPY_5m,1m,,,,,,"{""type"": ""bollinger_bands"", ""parameters"": {""_strategy_type"": ""bollinger_bands""}}",,traces/signals/bollinger_bands/SPY_5m_bollinger_bands_22_15.parquet,0.1906465354121354,2.0578346131463565,-0.042519049487926286,2650
SPY_5m_bollinger_bands_22_20,a2cd50f59ab7,bollinger_bands,SPY_5m,1m,,,,,,"{""type"": ""bollinger_bands"", ""parameters"": {""_strategy_type"": ""bollinger_bands""}}",,traces/signals/bollinger_bands/SPY_5m_bollinger_bands_22_20.parquet,0.03590789971542385,0.677923775451859,-0.04768074777703024,1629
SPY_5m_bollinger_bands_22_25,a2cd50f59ab7,bollinger_bands,SPY_5m,1m,,,,,,"{""type"": ""bollinger_bands"", ""parameters"": {""_strategy_type"": ""bollinger_bands""}}",,traces/signals/bollinger_bands/SPY_5m_bollinger_bands_22_25.parquet,-0.012016442225163515,-0.33497288930546165,-0.03505271444039193,775
SPY_5m_bollinger_bands_22_30,a2cd50f59ab7,bollinger_bands,SPY_5m,1m,,,,,,"{""type"": ""bollinger_bands"", ""parameters"": {""_strategy_type"": ""bollinger_bands""}}",,traces/signals/bollinger_bands/SPY_5m_bollinger_bands_22_30.parquet,0.007531064184134184,0.4160594046576567,-0.014719017339552054,387
SPY_5m_bollinger_bands_23_10,a2cd50f59ab7,bollinger_bands,SPY_5m,1m,,,,,,"{""type"": ""bollinger_bands"", ""parameters"": {""_strategy_type"": ""bollinger_bands""}}",,traces/signals/bollinger_bands/SPY_5m_bollinger_bands_23_10.parquet,0.11131509105959991,1.1031313084864307,-0.048278451331855265,2851
SPY_5m_bollinger_bands_23_15,a2cd50f59ab7,bollinger_bands,SPY_5m,1m,,,,,,"{""type"": ""bollinger_bands"", ""parameters"": {""_strategy_type"": ""bollinger_bands""}}",,traces/signals/bollinger_bands/SPY_5m_bollinger_bands_23_15.parquet,0.17429982531941546,1.8951820385912037,-0.03855011245001927,2595
SPY_5m_bollinger_bands_23_20,a2cd50f59ab7,bollinger_bands,SPY_5m,1m,,,,,,"{""type"": ""bollinger_bands"", ""parameters"": {""_strategy_type"": ""bollinger_bands""}}",,traces/signals/bollinger_bands/SPY_5m_bollinger_bands_23_20.parquet,0.05136570032430354,0.8864056507116678,-0.05112861028057447,1611
SPY_5m_bollinger_bands_23_25,a2cd50f59ab7,bollinger_bands,SPY_5m,1m,,,,,,"{""type"": ""bollinger_bands"", ""parameters"": {""_strategy_type"": ""bollinger_bands""}}",,traces/signals/bollinger_bands/SPY_5m_bollinger_bands_23_25.parquet,-0.020972421110245554,-0.5852142608778633,-0.03574000750653017,786
SPY_5m_bollinger_bands_23_30,a2cd50f59ab7,bollinger_bands,SPY_5m,1m,,,,,,"{""type"": ""bollinger_bands"", ""parameters"": {""_strategy_type"": ""bollinger_bands""}}",,traces/signals/bollinger_bands/SPY_5m_bollinger_bands_23_30.parquet,-0.0006566616061838282,-0.026261581414706428,-0.012262695705055449,375
SPY_5m_bollinger_bands_24_10,a2cd50f59ab7,bollinger_bands,SPY_5m,1m,,,,,,"{""type"": ""bollinger_bands"", ""parameters"": {""_strategy_type"": ""bollinger_bands""}}",,traces/signals/bollinger_bands/SPY_5m_bollinger_bands_24_10.parquet,0.11884512585760132,1.1619135386138084,-0.04560190255859453,2819
SPY_5m_bollinger_bands_24_15,a2cd50f59ab7,bollinger_bands,SPY_5m,1m,,,,,,"{""type"": ""bollinger_bands"", ""parameters"": {""_strategy_type"": ""bollinger_bands""}}",,traces/signals/bollinger_bands/SPY_5m_bollinger_bands_24_15.parquet,0.1767813227018269,1.9232630188800182,-0.04233807453755778,2555
SPY_5m_bollinger_bands_24_20,a2cd50f59ab7,bollinger_bands,SPY_5m,1m,,,,,,"{""type"": ""bollinger_bands"", ""parameters"": {""_strategy_type"": ""bollinger_bands""}}",,traces/signals/bollinger_bands/SPY_5m_bollinger_bands_24_20.parquet,0.04385824322054099,0.7665451039923841,-0.05910817488021769,1588
SPY_5m_bollinger_bands_24_25,a2cd50f59ab7,bollinger_bands,SPY_5m,1m,,,,,,"{""type"": ""bollinger_bands"", ""parameters"": {""_strategy_type"": ""bollinger_bands""}}",,traces/signals/bollinger_bands/SPY_5m_bollinger_bands_24_25.parquet,-0.012346985577788017,-0.3273087502655523,-0.03654936952914978,805
SPY_5m_bollinger_bands_24_30,a2cd50f59ab7,bollinger_bands,SPY_5m,1m,,,,,,"{""type"": ""bollinger_bands"", ""parameters"": {""_strategy_type"": ""bollinger_bands""}}",,traces/signals/bollinger_bands/SPY_5m_bollinger_bands_24_30.parquet,-0.0019450259847543228,-0.09425288406115664,-0.014857166339505401,393
SPY_5m_bollinger_bands_25_10,a2cd50f59ab7,bollinger_bands,SPY_5m,1m,,,,,,"{""type"": ""bollinger_bands"", ""parameters"": {""_strategy_type"": ""bollinger_bands""}}",,traces/signals/bollinger_bands/SPY_5m_bollinger_bands_25_10.parquet,0.12410297549186855,1.2019980328523339,-0.04699905498725332,2789
SPY_5m_bollinger_bands_25_15,a2cd50f59ab7,bollinger_bands,SPY_5m,1m,,,,,,"{""type"": ""bollinger_bands"", ""parameters"": {""_strategy_type"": ""bollinger_bands""}}",,traces/signals/bollinger_bands/SPY_5m_bollinger_bands_25_15.parquet,0.14733479914870107,1.6213317047939944,-0.04730013355060558,2537
SPY_5m_bollinger_bands_25_20,a2cd50f59ab7,bollinger_bands,SPY_5m,1m,,,,,,"{""type"": ""bollinger_bands"", ""parameters"": {""_strategy_type"": ""bollinger_bands""}}",,traces/signals/bollinger_bands/SPY_5m_bollinger_bands_25_20.parquet,0.04439353466482121,0.7722226100763251,-0.05918538879933366,1554
SPY_5m_bollinger_bands_25_25,a2cd50f59ab7,bollinger_bands,SPY_5m,1m,,,,,,"{""type"": ""bollinger_bands"", ""parameters"": {""_strategy_type"": ""bollinger_bands""}}",,traces/signals/bollinger_bands/SPY_5m_bollinger_bands_25_25.parquet,-0.024510446191067015,-0.66252642035261,-0.04549468435161885,813
SPY_5m_bollinger_bands_25_30,a2cd50f59ab7,bollinger_bands,SPY_5m,1m,,,,,,"{""type"": ""bollinger_bands"", ""parameters"": {""_strategy_type"": ""bollinger_bands""}}",,traces/signals/bollinger_bands/SPY_5m_bollinger_bands_25_30.parquet,-0.0045847888124176395,-0.2188544378492192,-0.019097473393232534,405
SPY_5m_bollinger_bands_26_10,a2cd50f59ab7,bollinger_bands,SPY_5m,1m,,,,,,"{""type"": ""bollinger_bands"", ""parameters"": {""_strategy_type"": ""bollinger_bands""}}",,traces/signals/bollinger_bands/SPY_5m_bollinger_bands_26_10.parquet,0.14959717428678965,1.4234870747699286,-0.04461732286720399,2745
