strategy_id,strategy_name,strategy_type,current_regime,trading_days,avg_daily_return_pct,daily_volatility_pct,annualized_sharpe_ratio,total_return_pct,win_days_pct
aroon_oscillator_aroon_oscillator_grid_14_40_000,aroon_oscillator_grid_14_40,aroon_oscillator,low_vol_bearish,205,0.0187,0.4909,0.605,3.84,51.7
aroon_oscillator_aroon_oscillator_grid_14_40_000,aroon_oscillator_grid_14_40,aroon_oscillator,neutral,205,-0.013,0.1485,-1.392,-2.67,45.4
aroon_oscillator_aroon_oscillator_grid_14_50_000,aroon_oscillator_grid_14_50,aroon_oscillator,low_vol_bullish,205,0.0496,0.3742,2.106,10.18,59.5
aroon_oscillator_aroon_oscillator_grid_14_50_000,aroon_oscillator_grid_14_50,aroon_oscillator,low_vol_bearish,205,0.0096,0.4391,0.348,1.98,48.3
aroon_oscillator_aroon_oscillator_grid_14_50_000,aroon_oscillator_grid_14_50,aroon_oscillator,neutral,205,-0.0193,0.1491,-2.057,-3.96,39.5
aroon_oscillator_aroon_oscillator_grid_14_60_000,aroon_oscillator_grid_14_60,aroon_oscillator,low_vol_bullish,205,0.0374,0.3733,1.589,7.66,56.1
aroon_oscillator_aroon_oscillator_grid_14_60_000,aroon_oscillator_grid_14_60,aroon_oscillator,low_vol_bearish,205,0.0158,0.432,0.581,3.24,48.8
aroon_oscillator_aroon_oscillator_grid_14_60_000,aroon_oscillator_grid_14_60,aroon_oscillator,neutral,205,-0.0057,0.1149,-0.791,-1.17,43.9
aroon_oscillator_aroon_oscillator_grid_20_30_000,aroon_oscillator_grid_20_30,aroon_oscillator,low_vol_bullish,205,0.0416,0.4598,1.437,8.53,54.1
aroon_oscillator_aroon_oscillator_grid_20_30_000,aroon_oscillator_grid_20_30,aroon_oscillator,neutral,205,-0.0142,0.1711,-1.314,-2.9,47.8
aroon_oscillator_aroon_oscillator_grid_20_30_000,aroon_oscillator_grid_20_30,aroon_oscillator,low_vol_bearish,205,-0.0205,0.5135,-0.634,-4.21,50.2
aroon_oscillator_aroon_oscillator_grid_20_40_000,aroon_oscillator_grid_20_40,aroon_oscillator,low_vol_bearish,205,-0.0025,0.5164,-0.076,-0.51,50.2
aroon_oscillator_aroon_oscillator_grid_20_40_000,aroon_oscillator_grid_20_40,aroon_oscillator,neutral,205,-0.0047,0.1522,-0.494,-0.97,48.8
aroon_oscillator_aroon_oscillator_grid_20_40_000,aroon_oscillator_grid_20_40,aroon_oscillator,low_vol_bullish,205,0.0418,0.4499,1.475,8.57,54.6
aroon_oscillator_aroon_oscillator_grid_20_50_000,aroon_oscillator_grid_20_50,aroon_oscillator,low_vol_bullish,205,0.0481,0.4433,1.722,9.86,56.1
aroon_oscillator_aroon_oscillator_grid_20_50_000,aroon_oscillator_grid_20_50,aroon_oscillator,neutral,205,0.0021,0.1255,0.265,0.43,47.3
aroon_oscillator_aroon_oscillator_grid_20_50_000,aroon_oscillator_grid_20_50,aroon_oscillator,low_vol_bearish,205,-0.0051,0.4382,-0.186,-1.05,50.7
aroon_oscillator_aroon_oscillator_grid_20_60_000,aroon_oscillator_grid_20_60,aroon_oscillator,low_vol_bearish,205,-0.0045,0.3743,-0.192,-0.93,51.7
aroon_oscillator_aroon_oscillator_grid_20_60_000,aroon_oscillator_grid_20_60,aroon_oscillator,neutral,205,-0.0007,0.1075,-0.105,-0.15,42.0
aroon_oscillator_aroon_oscillator_grid_20_60_000,aroon_oscillator_grid_20_60,aroon_oscillator,low_vol_bullish,205,0.0461,0.403,1.816,9.45,59.0
aroon_oscillator_aroon_oscillator_grid_25_30_000,aroon_oscillator_grid_25_30,aroon_oscillator,low_vol_bullish,205,0.0552,0.4632,1.892,11.32,56.1
aroon_oscillator_aroon_oscillator_grid_25_30_000,aroon_oscillator_grid_25_30,aroon_oscillator,low_vol_bearish,205,-0.0167,0.5184,-0.513,-3.43,48.8
aroon_oscillator_aroon_oscillator_grid_25_30_000,aroon_oscillator_grid_25_30,aroon_oscillator,neutral,205,0.0052,0.2035,0.408,1.07,44.9
aroon_oscillator_aroon_oscillator_grid_25_40_000,aroon_oscillator_grid_25_40,aroon_oscillator,low_vol_bullish,205,0.0599,0.4437,2.143,12.28,58.0
aroon_oscillator_aroon_oscillator_grid_25_40_000,aroon_oscillator_grid_25_40,aroon_oscillator,low_vol_bearish,205,-0.0111,0.4757,-0.37,-2.27,50.2
aroon_oscillator_aroon_oscillator_grid_25_40_000,aroon_oscillator_grid_25_40,aroon_oscillator,neutral,205,0.0117,0.1865,0.999,2.41,46.8
aroon_oscillator_aroon_oscillator_grid_25_50_000,aroon_oscillator_grid_25_50,aroon_oscillator,low_vol_bullish,205,0.0613,0.4155,2.34,12.56,64.9
aroon_oscillator_aroon_oscillator_grid_25_50_000,aroon_oscillator_grid_25_50,aroon_oscillator,low_vol_bearish,205,-0.0067,0.4482,-0.238,-1.38,54.1
aroon_oscillator_aroon_oscillator_grid_25_50_000,aroon_oscillator_grid_25_50,aroon_oscillator,neutral,205,0.0118,0.1623,1.15,2.41,50.7
aroon_oscillator_aroon_oscillator_grid_25_60_000,aroon_oscillator_grid_25_60,aroon_oscillator,low_vol_bullish,205,0.0349,0.35,1.584,7.16,55.1
aroon_oscillator_aroon_oscillator_grid_25_60_000,aroon_oscillator_grid_25_60,aroon_oscillator,low_vol_bearish,205,-0.0206,0.3944,-0.828,-4.22,49.8
aroon_oscillator_aroon_oscillator_grid_25_60_000,aroon_oscillator_grid_25_60,aroon_oscillator,neutral,205,-0.0039,0.0743,-0.839,-0.8,47.8
aroon_oscillator_aroon_oscillator_grid_30_30_000,aroon_oscillator_grid_30_30,aroon_oscillator,low_vol_bullish,205,0.0423,0.4544,1.479,8.68,57.6
aroon_oscillator_aroon_oscillator_grid_30_30_000,aroon_oscillator_grid_30_30,aroon_oscillator,low_vol_bearish,205,-0.0242,0.514,-0.748,-4.96,50.2
aroon_oscillator_aroon_oscillator_grid_30_30_000,aroon_oscillator_grid_30_30,aroon_oscillator,neutral,205,0.0113,0.2129,0.846,2.33,48.3
aroon_oscillator_aroon_oscillator_grid_30_40_000,aroon_oscillator_grid_30_40,aroon_oscillator,low_vol_bearish,205,-0.0195,0.4814,-0.644,-4.0,56.1
aroon_oscillator_aroon_oscillator_grid_30_40_000,aroon_oscillator_grid_30_40,aroon_oscillator,neutral,205,0.0132,0.1915,1.094,2.71,50.7
aroon_oscillator_aroon_oscillator_grid_30_40_000,aroon_oscillator_grid_30_40,aroon_oscillator,low_vol_bullish,205,0.0571,0.4316,2.1,11.71,59.5
aroon_oscillator_aroon_oscillator_grid_30_50_000,aroon_oscillator_grid_30_50,aroon_oscillator,low_vol_bearish,205,-0.0352,0.4376,-1.278,-7.22,50.7
aroon_oscillator_aroon_oscillator_grid_30_50_000,aroon_oscillator_grid_30_50,aroon_oscillator,neutral,205,0.0138,0.1848,1.19,2.84,48.3
aroon_oscillator_aroon_oscillator_grid_30_50_000,aroon_oscillator_grid_30_50,aroon_oscillator,low_vol_bullish,205,0.0388,0.3925,1.571,7.96,59.0
