strategy_id,strategy_hash,strategy_type,symbol,timeframe,constraints,period,std_dev,trace_path,total_return,sharpe_ratio,max_drawdown,num_trades,win_rate,avg_return_per_trade,total_execution_cost,profit_factor,avg_winner,avg_loser,pf_bin,trades_per_day
SPY_5m_strategy_160,e220d2e71910,bollinger_bands,SPY_5m,1m,,42,1.0,traces/signals/bollinger_bands/SPY_5m_strategy_160.parquet,-0.10778656308982515,-1.38233191846479,-0.11352159761788738,1187,0.6478517270429655,-9.382192711777657e-05,0.11870000000000003,0.8452867247501107,0.0007912344656940318,-0.0017220716067165341,0.8-1.0,4.63671875
SPY_5m_strategy_85,916f54433143,bollinger_bands,SPY_5m,1m,,27,1.0,traces/signals/bollinger_bands/SPY_5m_strategy_85.parquet,-0.10997450275745257,-1.3843390851094906,-0.12762992432890807,1364,0.6334310850439883,-8.336916995356082e-05,0.13640000000000002,0.8544851155640704,0.0007728641964650047,-0.0015629404271248419,0.8-1.0,5.328125
SPY_5m_strategy_110,fc9943afab8c,bollinger_bands,SPY_5m,1m,,32,1.0,traces/signals/bollinger_bands/SPY_5m_strategy_110.parquet,-0.1087149048308631,-1.3883278837719975,-0.12885748290318466,1310,0.6450381679389313,-8.578766982420836e-05,0.13100000000000003,0.8516064525917756,0.0007632439751942685,-0.0016286516269007954,0.8-1.0,5.1171875
SPY_5m_strategy_196,3374f282b6dd,bollinger_bands,SPY_5m,1m,,49,1.5,traces/signals/bollinger_bands/SPY_5m_strategy_196.parquet,-0.09179992783631408,-1.3927389835406796,-0.1001809614762833,944,0.6260593220338984,-9.998887958982045e-05,0.09440000000000003,0.8229218290059961,0.0007422150741519209,-0.0015100243942112626,0.8-1.0,3.6875
SPY_5m_strategy_105,203fc1421563,bollinger_bands,SPY_5m,1m,,31,1.0,traces/signals/bollinger_bands/SPY_5m_strategy_105.parquet,-0.11029773349185856,-1.4057443776534402,-0.12889765179891877,1310,0.6427480916030535,-8.71318535701303e-05,0.13100000000000003,0.8502120370230177,0.0007694607858228709,-0.0016282664740165128,0.8-1.0,5.1171875
SPY_5m_strategy_135,52acf43d5a97,bollinger_bands,SPY_5m,1m,,37,1.0,traces/signals/bollinger_bands/SPY_5m_strategy_135.parquet,-0.11121081780921216,-1.413537236555,-0.12518737976335237,1283,0.6445830085736555,-8.975207476040357e-05,0.12830000000000003,0.8453444935065989,0.0007610864394231212,-0.0016328298186853486,0.8-1.0,5.01171875
SPY_5m_strategy_186,a2ae0926bfd8,bollinger_bands,SPY_5m,1m,,47,1.5,traces/signals/bollinger_bands/SPY_5m_strategy_186.parquet,-0.0926718053072978,-1.4168328361963367,-0.10288770686019877,970,0.6247422680412371,-9.832549559909643e-05,0.09700000000000003,0.8239308514961058,0.0007365000069565414,-0.001488172348754911,0.8-1.0,3.7890625
SPY_5m_strategy_140,4be6b887eb6a,bollinger_bands,SPY_5m,1m,,38,1.0,traces/signals/bollinger_bands/SPY_5m_strategy_140.parquet,-0.11153151778128523,-1.4327037018958089,-0.1227323416399293,1258,0.6414944356120826,-9.186494220071698e-05,0.12580000000000002,0.8432910896072268,0.0007706208108142292,-0.001635159848371585,0.8-1.0,4.9140625
SPY_5m_strategy_61,fdd85de572ee,bollinger_bands,SPY_5m,1m,,22,1.5,traces/signals/bollinger_bands/SPY_5m_strategy_61.parquet,-0.08689904241864532,-1.4405993286984595,-0.0843911682574453,1315,0.5901140684410646,-6.792771035879134e-05,0.13150000000000003,0.8534899238450226,0.0006705665904068713,-0.00113114028437392,0.8-1.0,5.13671875
SPY_5m_strategy_115,d758885db870,bollinger_bands,SPY_5m,1m,,33,1.0,traces/signals/bollinger_bands/SPY_5m_strategy_115.parquet,-0.11154480232036235,-1.4407805808616139,-0.1269779554742072,1286,0.6477449455676516,-8.989799774381756e-05,0.12860000000000005,0.845876838793051,0.0007617022027990431,-0.0016558648124285922,0.8-1.0,5.0234375
SPY_5m_strategy_67,046228e4e54b,bollinger_bands,SPY_5m,1m,,23,2.0,traces/signals/bollinger_bands/SPY_5m_strategy_67.parquet,-0.05891052971582533,-1.4434305288932172,-0.06030123469640292,791,0.5600505689001264,-7.585994710928662e-05,0.07910000000000002,0.8299614342854271,0.0006611435606244513,-0.0010140569411496482,0.8-1.0,3.08984375
SPY_5m_strategy_95,569295355819,bollinger_bands,SPY_5m,1m,,29,1.0,traces/signals/bollinger_bands/SPY_5m_strategy_95.parquet,-0.11362980807603829,-1.4436691444942418,-0.1309489075365018,1343,0.6388682055100521,-8.776232937515258e-05,0.13430000000000003,0.8480580742019767,0.0007667341964260558,-0.0015994283482152285,0.8-1.0,5.24609375
SPY_5m_strategy_80,aee7e28d2d29,bollinger_bands,SPY_5m,1m,,26,1.0,traces/signals/bollinger_bands/SPY_5m_strategy_80.parquet,-0.11478719658549208,-1.4633089891209896,-0.1318259194673005,1373,0.6314639475600874,-8.680623532142471e-05,0.1373,0.8480269439189622,0.0007670884006739009,-0.0015499023803964198,0.8-1.0,5.36328125
SPY_5m_strategy_82,f69c71178b53,bollinger_bands,SPY_5m,1m,,26,2.0,traces/signals/bollinger_bands/SPY_5m_strategy_82.parquet,-0.06563116341607045,-1.5172892212872662,-0.06660269411317177,760,0.5723684210526315,-8.826066235806297e-05,0.07600000000000001,0.8151148708632776,0.0006798425662479741,-0.0011163372914153743,0.8-1.0,2.96875
SPY_5m_strategy_176,37ac1f916597,bollinger_bands,SPY_5m,1m,,45,1.5,traces/signals/bollinger_bands/SPY_5m_strategy_176.parquet,-0.10002412464570887,-1.5352057278184847,-0.11258069499466339,1005,0.6228855721393035,-0.00010299064359848954,0.10050000000000003,0.8133343125524107,0.0007204338348780786,-0.0014630532386547732,0.8-1.0,3.92578125
SPY_5m_strategy_197,92f6b1f7f323,bollinger_bands,SPY_5m,1m,,49,2.0,traces/signals/bollinger_bands/SPY_5m_strategy_197.parquet,-0.08103942249366547,-1.5632179335136378,-0.08152975669314444,628,0.5955414012738853,-0.00013270092694210941,0.06280000000000001,0.7654517966598794,0.0007271897257573814,-0.0013988391320980528,0.5-0.8,2.453125
SPY_5m_strategy_191,f4f89ea896e0,bollinger_bands,SPY_5m,1m,,48,1.5,traces/signals/bollinger_bands/SPY_5m_strategy_191.parquet,-0.1024145319137798,-1.5684422368259112,-0.11210962531081625,952,0.6207983193277311,-0.00011150187125538097,0.09520000000000003,0.8036006989506561,0.0007349063354398956,-0.0014971729243216094,0.8-1.0,3.71875
SPY_5m_strategy_161,ab7c0e7f655a,bollinger_bands,SPY_5m,1m,,42,1.5,traces/signals/bollinger_bands/SPY_5m_strategy_161.parquet,-0.1049550550871503,-1.5892510959758155,-0.11980517152528936,1021,0.6229187071498531,-0.00010669614088559309,0.10210000000000002,0.8098384190688988,0.0007294456433692225,-0.0014879589325377041,0.8-1.0,3.98828125
SPY_5m_strategy_46,77ecf32f66e5,bollinger_bands,SPY_5m,1m,,19,1.5,traces/signals/bollinger_bands/SPY_5m_strategy_46.parquet,-0.09024061627840263,-1.5932105073531857,-0.09305430052131414,1402,0.5920114122681883,-6.645225070979199e-05,0.14020000000000005,0.848818128287866,0.0006302234293434718,-0.001077362765472395,0.8-1.0,5.4765625
SPY_5m_strategy_41,7b6de378abb1,bollinger_bands,SPY_5m,1m,,18,1.5,traces/signals/bollinger_bands/SPY_5m_strategy_41.parquet,-0.08957788631300034,-1.5949739380770596,-0.09557774908391936,1411,0.5960311835577604,-6.552958229884296e-05,0.14110000000000003,0.851156821205895,0.0006287081136054581,-0.0010898346739751888,0.8-1.0,5.51171875
SPY_5m_strategy_87,8c513a0e511c,bollinger_bands,SPY_5m,1m,,27,2.0,traces/signals/bollinger_bands/SPY_5m_strategy_87.parquet,-0.06994491814953652,-1.5976164734902183,-0.0713870932762386,762,0.5669291338582677,-9.40694637592412e-05,0.07620000000000002,0.8085765200108121,0.0007008834603223837,-0.0011347351098297321,0.8-1.0,2.9765625
SPY_5m_strategy_175,ed91ff086529,bollinger_bands,SPY_5m,1m,,45,1.0,traces/signals/bollinger_bands/SPY_5m_strategy_175.parquet,-0.12338839602944707,-1.6035496549095691,-0.13235642105652112,1166,0.6492281303602059,-0.0001106462865194103,0.11660000000000002,0.821451933101313,0.0007840910870932906,-0.0017666760953820378,0.8-1.0,4.5546875
SPY_5m_strategy_171,f4f9192e7ee6,bollinger_bands,SPY_5m,1m,,44,1.5,traces/signals/bollinger_bands/SPY_5m_strategy_171.parquet,-0.10538864844814788,-1.6096685823413635,-0.11909503628439444,1022,0.6291585127201565,-0.00010709539292942049,0.10220000000000003,0.8054302066101495,0.0007046333705269325,-0.001484249996893629,0.8-1.0,3.9921875
SPY_5m_strategy_0,572097140686,bollinger_bands,SPY_5m,1m,,10,1.0,traces/signals/bollinger_bands/SPY_5m_strategy_0.parquet,-0.0995960006372113,-1.627633226898514,-0.10891931089668982,1530,0.6,-6.748624524367756e-05,0.15300000000000002,0.8613617903692007,0.0006988221739542123,-0.0012169488740405123,0.8-1.0,5.9765625
SPY_5m_strategy_181,bca709053121,bollinger_bands,SPY_5m,1m,,46,1.5,traces/signals/bollinger_bands/SPY_5m_strategy_181.parquet,-0.10672925092930519,-1.63909552502572,-0.1143038752562543,972,0.6162551440329218,-0.00011416382680788762,0.09720000000000004,0.8001844723584137,0.0007418717709559401,-0.0014888697867556965,0.8-1.0,3.796875
SPY_5m_strategy_2,5edc43651004,bollinger_bands,SPY_5m,1m,,10,2.0,traces/signals/bollinger_bands/SPY_5m_strategy_2.parquet,-0.052462262803865234,-1.6418995747621614,-0.057125142066401735,718,0.48746518105849584,-7.444527245336588e-05,0.07180000000000002,0.8040156810121507,0.0006265225666813125,-0.0007411266411955871,0.8-1.0,2.8046875
SPY_5m_strategy_97,ba3731f3d147,bollinger_bands,SPY_5m,1m,,29,2.0,traces/signals/bollinger_bands/SPY_5m_strategy_97.parquet,-0.0743112071489953,-1.6425370703553175,-0.07539679894336593,756,0.58994708994709,-0.00010096016835824562,0.07560000000000001,0.7988305452363852,0.0006795628466251309,-0.0012239061834633618,0.5-0.8,2.953125
SPY_5m_strategy_165,cf7e04d7a203,bollinger_bands,SPY_5m,1m,,43,1.0,traces/signals/bollinger_bands/SPY_5m_strategy_165.parquet,-0.12723500079290417,-1.6504718943887877,-0.13481519085809812,1171,0.6379163108454312,-0.00011390814747544392,0.11710000000000002,0.8162119660495568,0.0007930066104302917,-0.0017117037233140868,0.8-1.0,4.57421875
SPY_5m_strategy_192,430f9f4d0cc9,bollinger_bands,SPY_5m,1m,,48,2.0,traces/signals/bollinger_bands/SPY_5m_strategy_192.parquet,-0.085577771785451,-1.6513279284295619,-0.08580781019376638,636,0.5911949685534591,-0.00013880490520161727,0.06360000000000002,0.7560964381027385,0.0007278353318515333,-0.0013921000172477118,0.5-0.8,2.484375
SPY_5m_strategy_81,8722b4247191,bollinger_bands,SPY_5m,1m,,26,1.5,traces/signals/bollinger_bands/SPY_5m_strategy_81.parquet,-0.10538804808446456,-1.6763369274592712,-0.10629460566722937,1254,0.5917065390749602,-8.740069891430016e-05,0.1254,0.8220742114721457,0.0006824654376621982,-0.0012031051390310223,0.8-1.0,4.8984375
SPY_5m_strategy_156,e2b1b30f7db7,bollinger_bands,SPY_5m,1m,,41,1.5,traces/signals/bollinger_bands/SPY_5m_strategy_156.parquet,-0.1122136032087947,-1.684023640807052,-0.12639032235029657,1038,0.6204238921001927,-0.00011274083944716507,0.10380000000000003,0.8006753786694354,0.0007299418710957819,-0.0014901207013498499,0.8-1.0,4.0546875
SPY_5m_strategy_170,eda5c120abc6,bollinger_bands,SPY_5m,1m,,44,1.0,traces/signals/bollinger_bands/SPY_5m_strategy_170.parquet,-0.1288227799005348,-1.6846567115649551,-0.13419629916636577,1174,0.637137989778535,-0.00011519842255464185,0.11740000000000003,0.8121863011675718,0.0007818823787422487,-0.0016903543835172575,0.8-1.0,4.5859375
SPY_5m_strategy_202,26929cd65e11,bollinger_bands,SPY_5m,1m,,50,2.0,traces/signals/bollinger_bands/SPY_5m_strategy_202.parquet,-0.09368414274328496,-1.6989220326643983,-0.09359081469317698,611,0.5891980360065466,-0.0001587778632751744,0.061100000000000015,0.7339982552983071,0.000743599698681822,-0.0014530245656836156,0.5-0.8,2.38671875
SPY_5m_strategy_86,bff1964a1e5d,bollinger_bands,SPY_5m,1m,,27,1.5,traces/signals/bollinger_bands/SPY_5m_strategy_86.parquet,-0.10755929826536215,-1.701461808967395,-0.10812605646862539,1239,0.5980629539951574,-9.040000965048933e-05,0.12390000000000002,0.8170494336297757,0.0006750503242697785,-0.001229353217351129,0.8-1.0,4.83984375
