stop_loss_pct,regime,total_return,avg_return_per_trade,win_rate,num_trades,stopped_out_count,stopped_out_rate,avg_winner,avg_loser,profit_factor,avg_duration_minutes,avg_duration_winners,avg_duration_losers,avg_duration_stopped,strategy_hash,strategy_type
0.3,High Vol,-0.03456315208135169,-0.00012614289080785287,0.5985401459854015,274,45,0.16423357664233576,0.0008945670675355062,-0.0016479286468834061,0.8093300495375974,23.156934306569344,13.414634146341463,37.68181818181818,30.555555555555557,b3883b4a99a3,bollinger_bands
0.35,Low Vol,-0.0697634779349976,-0.0001513307547396911,0.6117136659436009,461,55,0.1193058568329718,0.0006769900496333325,-0.0014562830834167451,0.7323733931722222,25.30368763557484,16.29432624113475,39.497206703910614,47.54545454545455,b3883b4a99a3,bollinger_bands
0.35,Medium Vol,-0.0008026322854685674,-2.042321337070146e-06,0.6870229007633588,393,38,0.09669211195928754,0.0007121129591505073,-0.0015697002541146792,0.9958428587124125,25.763358778625953,16.425925925925927,46.260162601626014,42.5,b3883b4a99a3,bollinger_bands
0.35,High Vol,-0.0383406330191724,-0.00013992931758822043,0.6094890510948905,274,39,0.14233576642335766,0.000894307435741529,-0.0017541119139066145,0.7957235965187943,24.434306569343065,13.892215568862275,40.88785046728972,35.8974358974359,b3883b4a99a3,bollinger_bands
0.4,Low Vol,-0.07132904982227929,-0.0001547267892023412,0.6117136659436009,461,45,0.09761388286334056,0.0006769900496333325,-0.001465029295077537,0.7280011306291189,26.648590021691973,16.29432624113475,42.960893854748605,54.111111111111114,b3883b4a99a3,bollinger_bands
0.4,Medium Vol,-0.009250698338213677,-2.353867261631979e-05,0.6870229007633588,393,34,0.08651399491094147,0.0007121129591505073,-0.0016383837179581354,0.9540956561307241,26.83206106870229,16.425925925925927,49.67479674796748,50.14705882352941,b3883b4a99a3,bollinger_bands
0.4,High Vol,-0.03093528778338001,-0.0001129025101583212,0.6167883211678832,274,35,0.12773722627737227,0.0009623456809946309,-0.0018435400749664062,0.840186935768938,25.83941605839416,14.437869822485206,44.19047619047619,44.0,b3883b4a99a3,bollinger_bands
0.45,Low Vol,-0.07640884656968273,-0.00016574587108391048,0.6117136659436009,461,37,0.08026030368763558,0.0006769900496333325,-0.001493408047856327,0.7141671593053007,27.635574837310195,16.29432624113475,45.502793296089386,55.810810810810814,b3883b4a99a3,bollinger_bands
0.45,Medium Vol,-0.0018140373582446042,-4.615871140571512e-06,0.6921119592875318,393,26,0.06615776081424936,0.0007084422619323714,-0.0016075234099491703,0.9906738252206932,28.193384223918574,16.727941176470587,53.96694214876033,65.57692307692308,b3883b4a99a3,bollinger_bands
0.45,High Vol,-0.018316659548729644,-6.684912244061914e-05,0.6240875912408759,274,26,0.0948905109489051,0.0009571027511668635,-0.0017668080582355665,0.8993486331040597,27.39051094890511,15.087719298245615,47.81553398058252,45.96153846153846,b3883b4a99a3,bollinger_bands
