strategy_hash,strategy_type,sharpe_ratio,total_return,win_rate,avg_return_per_trade,num_trades,total_execution_cost
b1b13ffa7fb6,bollinger_bands,-299.62679545450516,-0.9825397143298995,0.0026483050847457626,-0.003930158857319598,250,0.025
db8d4e8f6787,bollinger_bands,-17.89226254969313,-0.6919138584656128,0.12326656394453005,-0.00022056546332980965,3137,0.31370000000000003
e837394fa671,bollinger_bands,-33.172954607004,-0.8147017478618571,0.07501926040061634,-0.0002838682048299154,2870,0.28700000000000003
de310b1d719c,bollinger_bands,-76.13083809235891,-0.9195872057431329,0.028312788906009245,-0.0005662482793984809,1624,0.16240000000000002
7d8028d44776,bollinger_bands,-151.00318020138639,-0.9630935042774375,0.009100539291217258,-0.0013837550348813758,696,0.06960000000000001
cc8fd5805152,bollinger_bands,-281.4748770848925,-0.9807972236412427,0.002889060092449923,-0.0035536131291349373,276,0.027600000000000003
0c2036dd8361,bollinger_bands,-17.124592081554933,-0.6807382569434656,0.12793721109399075,-0.00022130632540424757,3076,0.30760000000000004
1729defe80ec,bollinger_bands,-32.128058089541526,-0.8043109865714078,0.07699345146379044,-0.00027754002297150025,2898,0.2898
bb047773debb,bollinger_bands,-67.5342621612525,-0.904275434430004,0.03009437596302003,-0.0005637627396695786,1604,0.16040000000000001
67aab798c4c3,bollinger_bands,-145.61760570312006,-0.9576488590217909,0.009196841294298921,-0.001404177212641922,682,0.0682
2bcc376485d5,bollinger_bands,-268.97667056659816,-0.9788876838344905,0.0033224191063174115,-0.0033523550816249676,292,0.0292
3bc725799b6e,bollinger_bands,-16.695800544338812,-0.6720619076770633,0.1322226502311248,-0.00021891267351044406,3070,0.307
cc981e9ed262,bollinger_bands,-30.755073882673255,-0.795178280596519,0.07877503852080123,-0.00027667998628967254,2874,0.2874
8e87066c3723,bollinger_bands,-65.55421993873328,-0.8978979054734888,0.030816640986132512,-0.0005611861909209305,1600,0.16
aad915846c8b,bollinger_bands,-133.78531862168853,-0.9500448284021974,0.009919106317411401,-0.001365006937359479,696,0.06960000000000001
c45b884a2efa,bollinger_bands,-268.04486360413216,-0.9776319948888484,0.0034668721109399076,-0.003194875800290354,306,0.030600000000000002
8bfd000951c8,bollinger_bands,-16.164424413990446,-0.6610207024395581,0.13607473035439138,-0.00021744102053932834,3040,0.304
7b6de378abb1,bollinger_bands,-29.219841484507814,-0.7866501901339125,0.08079738058551618,-0.00027855884919756105,2824,0.28240000000000004
5c7108270d04,bollinger_bands,-60.17419827728541,-0.885743286072495,0.032598228043143294,-0.0005501511093617981,1610,0.161
1c281ff1e665,bollinger_bands,-128.33384812243182,-0.9460184268396045,0.010304314329738058,-0.0013514548954851493,700,0.07
f3ee8435d51b,bollinger_bands,-241.7056638761447,-0.9750830267166993,0.003852080123266564,-0.003105359957696495,314,0.031400000000000004
6060c4146778,bollinger_bands,-15.19579942595268,-0.6418700434119263,0.13901194144838214,-0.00021317503932644514,3011,0.30110000000000003
77ecf32f66e5,bollinger_bands,-28.330994499018857,-0.7777728294880949,0.08219375963020031,-0.00027718204899789553,2806,0.2806
8baa1f123457,bollinger_bands,-58.124613602481695,-0.8780082221947545,0.034187211093990755,-0.0005393170898002177,1628,0.1628
6f8fa2fc4f01,bollinger_bands,-124.66451207518253,-0.944896019946846,0.011026579352850539,-0.0012666166487223136,746,0.0746
72706250c433,bollinger_bands,-240.17072344263423,-0.9745518724767745,0.003900231124807396,-0.0029711947331608982,328,0.0328
31784fac0618,bollinger_bands,-14.338886062833565,-0.6238452476648861,0.14238251155624038,-0.00020941431610100239,2979,0.2979
a08c8bbd5d2c,bollinger_bands,-27.16381726953806,-0.7662643733490839,0.08306047765793528,-0.00028212973981925034,2716,0.2716
49cbed903ac4,bollinger_bands,-55.024120949499284,-0.8690917517887926,0.03519838212634823,-0.000530581045048103,1638,0.1638
d6203f75d335,bollinger_bands,-115.87962110954724,-0.936846487452438,0.011556240369799691,-0.0012694396848949025,738,0.0738
7d826e7e1670,bollinger_bands,-223.95463309284136,-0.9700950710829871,0.0039965331278890605,-0.0030127176120589663,322,0.0322
af0897a3cbf3,bollinger_bands,-13.995426451265915,-0.6185042755836315,0.14421224961479198,-0.00020888357838015249,2961,0.29610000000000003
e1a5b15c1c4d,bollinger_bands,-25.602752247968,-0.7516033149937132,0.08479391371340524,-0.00027878461238639216,2696,0.2696
6b16474082ff,bollinger_bands,-52.64936271230522,-0.8615873796031956,0.03625770416024653,-0.0005325014707065486,1618,0.1618
4daf7ecf9645,bollinger_bands,-107.83286400505492,-0.9263603876638907,0.012471109399075501,-0.0012620713728390882,734,0.0734
66b838920d84,bollinger_bands,-206.398245445229,-0.9635112407569887,0.004574345146379045,-0.002784714568661817,346,0.0346
89ba5ecaeb7e,bollinger_bands,-13.326186272089318,-0.6027722736653414,0.14666795069337443,-0.00020792420616258758,2899,0.2899
fdd85de572ee,bollinger_bands,-24.61389551619672,-0.7399658332582948,0.08671995377503852,-0.000281142033912726,2632,0.2632
9b3b4bc11856,bollinger_bands,-49.94647929219386,-0.8516857065517306,0.0374133281972265,-0.0005336376607466983,1596,0.15960000000000002
001ba0423a6e,bollinger_bands,-102.40021134671711,-0.9212106254573393,0.01314522342064715,-0.0012381863245394347,744,0.07440000000000001
e5cc63fb508c,bollinger_bands,-197.20376043654292,-0.9623905243754357,0.004911402157164869,-0.0026151916423245536,368,0.0368
