stop_pct,target_pct,regime,num_trades,total_return,sharpe_ratio,win_rate,stop_hits,target_hits,avg_duration,strategy,period,std_dev,strategy_hash
0.03,0.05,High Vol,394,0.04410968654309122,6.537736971402782,0.7538071065989848,0.0,0.0,0.12944162436548223,P22_S2.5,22,2.5,001ba042
0.03,0.05,Trending Up,96,0.005954594199568897,1.7046895560768256,0.6875,0.0,0.0,0.11458333333333333,P22_S2.5,22,2.5,001ba042
0.03,0.05,Trending Down,109,0.018300005900146132,5.891946996065621,0.8256880733944955,0.0,0.0,0.07339449541284404,P22_S2.5,22,2.5,001ba042
0.03,0.05,Ranging,827,0.051515734511179856,4.998628513067078,0.6807738814993954,0.0,0.0,0.21765417170495768,P22_S2.5,22,2.5,001ba042
0.05,0.075,Overall,1032,0.09950429637855551,5.881924689774497,0.5891472868217055,20.155038759689923,46.31782945736434,0.564922480620155,P22_S2.5,22,2.5,001ba042
0.05,0.075,Low Vol,276,-0.00037483017754524894,-0.04232538433522955,0.5181159420289855,0.0,0.0,0.7427536231884058,P22_S2.5,22,2.5,001ba042
0.05,0.075,Medium Vol,358,0.024272553434091293,2.483893621452506,0.5642458100558659,0.0,0.0,0.5782122905027933,P22_S2.5,22,2.5,001ba042
0.05,0.075,High Vol,394,0.07349320546337768,7.270653303056755,0.6624365482233503,0.0,0.0,0.42385786802030456,P22_S2.5,22,2.5,001ba042
0.05,0.075,Trending Up,96,0.0037117743255998814,0.7224138322935432,0.5625,0.0,0.0,0.5208333333333334,P22_S2.5,22,2.5,001ba042
0.05,0.075,Trending Down,109,0.036577902555244846,8.212673143343617,0.8073394495412844,0.0,0.0,0.28440366972477066,P22_S2.5,22,2.5,001ba042
0.05,0.075,Ranging,827,0.05678335801626422,3.8315061885221993,0.5634824667472793,0.0,0.0,0.6070133010882709,P22_S2.5,22,2.5,001ba042
0.05,0.1,Overall,1032,0.004658167179145689,0.2610366599363875,0.46608527131782945,26.744186046511626,25.581395348837212,0.8062015503875969,P22_S2.5,22,2.5,001ba042
0.05,0.1,Low Vol,276,-0.02434222986384127,-2.9031849310686435,0.42028985507246375,0.0,0.0,0.9528985507246377,P22_S2.5,22,2.5,001ba042
0.05,0.1,Medium Vol,358,-0.011128253162929869,-1.0430981168511204,0.43854748603351956,0.0,0.0,0.8184357541899442,P22_S2.5,22,2.5,001ba042
0.05,0.1,High Vol,394,0.042258005511781827,3.4139625284457473,0.5253807106598984,0.0,0.0,0.682741116751269,P22_S2.5,22,2.5,001ba042
0.05,0.1,Trending Up,96,-0.0034409659065400833,-0.5761647479413657,0.4375,0.0,0.0,0.7291666666666666,P22_S2.5,22,2.5,001ba042
0.05,0.1,Trending Down,109,0.024993262264480398,3.8721597932062912,0.6330275229357798,0.0,0.0,0.5963302752293578,P22_S2.5,22,2.5,001ba042
0.05,0.1,Ranging,827,-0.01645490241942671,-1.023762423474168,0.44740024183796856,0.0,0.0,0.8428053204353083,P22_S2.5,22,2.5,001ba042
0.075,0.1,Overall,1032,0.02184700236390924,1.1252688500943644,0.4941860465116279,15.503875968992247,26.550387596899228,0.939922480620155,P22_S2.5,22,2.5,001ba042
0.075,0.1,Low Vol,276,-0.021311321985863052,-2.3728967507282674,0.4492753623188406,0.0,0.0,1.108695652173913,P22_S2.5,22,2.5,001ba042
0.075,0.1,Medium Vol,358,-0.0059214037256359875,-0.5255539311557528,0.4581005586592179,0.0,0.0,0.9720670391061452,P22_S2.5,22,2.5,001ba042
0.075,0.1,High Vol,394,0.05153479563669916,3.9802937912428575,0.5609137055837563,0.0,0.0,0.7842639593908629,P22_S2.5,22,2.5,001ba042
0.075,0.1,Trending Up,96,-0.0037409976497349007,-0.5702496830850816,0.46875,0.0,0.0,0.8958333333333334,P22_S2.5,22,2.5,001ba042
0.075,0.1,Trending Down,109,0.027796162423844084,4.2058238745977485,0.6605504587155964,0.0,0.0,0.6972477064220184,P22_S2.5,22,2.5,001ba042
0.075,0.1,Ranging,827,-0.0020549583556758177,-0.11377452581595858,0.4752116082224909,0.0,0.0,0.9770253929866989,P22_S2.5,22,2.5,001ba042
0.075,0.15,Overall,1032,-0.11737457792293637,-6.369095663400276,0.3798449612403101,19.670542635658915,7.55813953488372,1.1744186046511629,P22_S2.5,22,2.5,001ba042
0.075,0.15,Low Vol,276,-0.04423174369474758,-5.326669536341704,0.39492753623188404,0.0,0.0,1.2608695652173914,P22_S2.5,22,2.5,001ba042
0.075,0.15,Medium Vol,358,-0.044122240800496315,-3.974445671088896,0.3715083798882682,0.0,0.0,1.1927374301675977,P22_S2.5,22,2.5,001ba042
0.075,0.15,High Vol,394,-0.032781636873310926,-2.4675559786795684,0.37817258883248733,0.0,0.0,1.0913705583756346,P22_S2.5,22,2.5,001ba042
0.075,0.15,Trending Up,96,-0.022025292713980238,-3.437922590352897,0.3125,0.0,0.0,1.1875,P22_S2.5,22,2.5,001ba042
0.075,0.15,Trending Down,109,0.007460784766102124,0.966091551076454,0.4954128440366973,0.0,0.0,1.036697247706422,P22_S2.5,22,2.5,001ba042
0.075,0.15,Ranging,827,-0.10418019682307522,-6.599314517580255,0.3724304715840387,0.0,0.0,1.1910519951632406,P22_S2.5,22,2.5,001ba042
