strategy_id,strategy_hash,strategy_type,symbol,timeframe,constraints,period,std_dev,trace_path,total_return,sharpe_ratio,max_drawdown,num_trades,win_rate,avg_return_per_trade,profit_factor,total_execution_cost,pf_bin
SPY_1m_strategy_47,67aab798c4c3,bollinger_bands,SPY_1m,1m,,16,2.5,traces/signals/bollinger_bands/SPY_1m_strategy_47.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_48,3bc725799b6e,bollinger_bands,SPY_1m,1m,,17,1.0,traces/signals/bollinger_bands/SPY_1m_strategy_48.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_49,cc981e9ed262,bollinger_bands,SPY_1m,1m,,17,1.5,traces/signals/bollinger_bands/SPY_1m_strategy_49.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_50,8e87066c3723,bollinger_bands,SPY_1m,1m,,17,2.0,traces/signals/bollinger_bands/SPY_1m_strategy_50.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_51,aad915846c8b,bollinger_bands,SPY_1m,1m,,17,2.5,traces/signals/bollinger_bands/SPY_1m_strategy_51.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_52,8bfd000951c8,bollinger_bands,SPY_1m,1m,,18,1.0,traces/signals/bollinger_bands/SPY_1m_strategy_52.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_53,7b6de378abb1,bollinger_bands,SPY_1m,1m,,18,1.5,traces/signals/bollinger_bands/SPY_1m_strategy_53.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_54,5c7108270d04,bollinger_bands,SPY_1m,1m,,18,2.0,traces/signals/bollinger_bands/SPY_1m_strategy_54.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_55,1c281ff1e665,bollinger_bands,SPY_1m,1m,,18,2.5,traces/signals/bollinger_bands/SPY_1m_strategy_55.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_56,6060c4146778,bollinger_bands,SPY_1m,1m,,19,1.0,traces/signals/bollinger_bands/SPY_1m_strategy_56.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_57,77ecf32f66e5,bollinger_bands,SPY_1m,1m,,19,1.5,traces/signals/bollinger_bands/SPY_1m_strategy_57.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_58,8baa1f123457,bollinger_bands,SPY_1m,1m,,19,2.0,traces/signals/bollinger_bands/SPY_1m_strategy_58.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_59,6f8fa2fc4f01,bollinger_bands,SPY_1m,1m,,19,2.5,traces/signals/bollinger_bands/SPY_1m_strategy_59.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_60,31784fac0618,bollinger_bands,SPY_1m,1m,,20,1.0,traces/signals/bollinger_bands/SPY_1m_strategy_60.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_61,a08c8bbd5d2c,bollinger_bands,SPY_1m,1m,,20,1.5,traces/signals/bollinger_bands/SPY_1m_strategy_61.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_62,49cbed903ac4,bollinger_bands,SPY_1m,1m,,20,2.0,traces/signals/bollinger_bands/SPY_1m_strategy_62.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_63,d6203f75d335,bollinger_bands,SPY_1m,1m,,20,2.5,traces/signals/bollinger_bands/SPY_1m_strategy_63.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_64,af0897a3cbf3,bollinger_bands,SPY_1m,1m,,21,1.0,traces/signals/bollinger_bands/SPY_1m_strategy_64.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_65,e1a5b15c1c4d,bollinger_bands,SPY_1m,1m,,21,1.5,traces/signals/bollinger_bands/SPY_1m_strategy_65.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_66,6b16474082ff,bollinger_bands,SPY_1m,1m,,21,2.0,traces/signals/bollinger_bands/SPY_1m_strategy_66.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_67,4daf7ecf9645,bollinger_bands,SPY_1m,1m,,21,2.5,traces/signals/bollinger_bands/SPY_1m_strategy_67.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_68,89ba5ecaeb7e,bollinger_bands,SPY_1m,1m,,22,1.0,traces/signals/bollinger_bands/SPY_1m_strategy_68.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_69,fdd85de572ee,bollinger_bands,SPY_1m,1m,,22,1.5,traces/signals/bollinger_bands/SPY_1m_strategy_69.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_70,9b3b4bc11856,bollinger_bands,SPY_1m,1m,,22,2.0,traces/signals/bollinger_bands/SPY_1m_strategy_70.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_71,001ba0423a6e,bollinger_bands,SPY_1m,1m,,22,2.5,traces/signals/bollinger_bands/SPY_1m_strategy_71.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_72,e8fc96c15ce2,bollinger_bands,SPY_1m,1m,,23,1.0,traces/signals/bollinger_bands/SPY_1m_strategy_72.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_73,ede5e6f58198,bollinger_bands,SPY_1m,1m,,23,1.5,traces/signals/bollinger_bands/SPY_1m_strategy_73.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_74,046228e4e54b,bollinger_bands,SPY_1m,1m,,23,2.0,traces/signals/bollinger_bands/SPY_1m_strategy_74.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_75,93cba16200b6,bollinger_bands,SPY_1m,1m,,23,2.5,traces/signals/bollinger_bands/SPY_1m_strategy_75.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_76,c249cef528fb,bollinger_bands,SPY_1m,1m,,24,1.0,traces/signals/bollinger_bands/SPY_1m_strategy_76.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_77,b3bc478985c8,bollinger_bands,SPY_1m,1m,,24,1.5,traces/signals/bollinger_bands/SPY_1m_strategy_77.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_78,cc91a898fba5,bollinger_bands,SPY_1m,1m,,24,2.0,traces/signals/bollinger_bands/SPY_1m_strategy_78.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_79,a0135f1061c2,bollinger_bands,SPY_1m,1m,,24,2.5,traces/signals/bollinger_bands/SPY_1m_strategy_79.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_80,b018a6fd2f3b,bollinger_bands,SPY_1m,1m,,25,1.0,traces/signals/bollinger_bands/SPY_1m_strategy_80.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_81,9998eed964f5,bollinger_bands,SPY_1m,1m,,25,1.5,traces/signals/bollinger_bands/SPY_1m_strategy_81.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_82,a2e4b74d4249,bollinger_bands,SPY_1m,1m,,25,2.0,traces/signals/bollinger_bands/SPY_1m_strategy_82.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_83,834bed6f6b13,bollinger_bands,SPY_1m,1m,,25,2.5,traces/signals/bollinger_bands/SPY_1m_strategy_83.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_84,aee7e28d2d29,bollinger_bands,SPY_1m,1m,,26,1.0,traces/signals/bollinger_bands/SPY_1m_strategy_84.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_85,8722b4247191,bollinger_bands,SPY_1m,1m,,26,1.5,traces/signals/bollinger_bands/SPY_1m_strategy_85.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_86,f69c71178b53,bollinger_bands,SPY_1m,1m,,26,2.0,traces/signals/bollinger_bands/SPY_1m_strategy_86.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_87,7f947d4b463c,bollinger_bands,SPY_1m,1m,,26,2.5,traces/signals/bollinger_bands/SPY_1m_strategy_87.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_88,916f54433143,bollinger_bands,SPY_1m,1m,,27,1.0,traces/signals/bollinger_bands/SPY_1m_strategy_88.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_89,bff1964a1e5d,bollinger_bands,SPY_1m,1m,,27,1.5,traces/signals/bollinger_bands/SPY_1m_strategy_89.parquet,0,0,0,0,0,0,0,0,
