strategy_hash,strategy_type,original_sharpe,original_return,original_win_rate,original_avg_return,optimal_stop,optimal_target,optimal_sharpe,optimal_return,optimal_win_rate,optimal_avg_return,sharpe_improvement,return_improvement,win_rate_change,avg_return_change,num_trades,period,std_dev
916f54433143,bollinger_bands,-1.8625068135095426,-0.14807385647516236,0.6424314660309892,-9.375043992841507e-05,0.25,0.5,-1.132505060751835,-0.0665904285539336,0.6328963051251489,-4.0201358607804113e-05,0.7300017527577076,0.08148342792122876,-0.009535160905840279,5.3549081320610956e-05,1678,27,1.0
bff1964a1e5d,bollinger_bands,-1.833961478242116,-0.11655258215355413,0.5925141242937854,-8.622390987082646e-05,0.25,0.5,-1.0793146994136669,-0.051708957183276616,0.5889830508474576,-3.681837303910238e-05,0.7546467788284492,0.06484362497027751,-0.0035310734463277482,4.940553683172408e-05,1416,27,1.5
8c513a0e511c,bollinger_bands,-1.5048063666022875,-0.06629754060223148,0.5820170109356014,-8.233466074477801e-05,0.2,0.4,-0.8789082138185026,-0.03065108045919762,0.5710814094775213,-3.721929193467161e-05,0.6258981527837849,0.03564646014303385,-0.010935601458080146,4.51153688101064e-05,823,27,2.0
a844edc0133c,bollinger_bands,-1.4106725441152448,-0.042360172342205016,0.5236907730673317,-0.00010698801960639539,0.2,0.4,-1.0919760173639164,-0.026634080374476454,0.5211970074812967,-6.670334886794782e-05,0.3186965267513284,0.01572609196772856,-0.0024937655860349794,4.028467073844757e-05,401,27,2.5
8617e749fbb7,bollinger_bands,-1.3307967121462079,-0.027124112341154083,0.5233160621761658,-0.00014157462598219509,0.2,0.4,-0.8517125305341158,-0.015016386037829843,0.5181347150259067,-7.773036924513278e-05,0.4790841816120921,0.01210772630332424,-0.005181347150259086,6.384425673706231e-05,193,27,3.0
99ba9aeafcd7,bollinger_bands,-1.7525317476356328,-0.14021202458617754,0.6510638297872341,-9.004481525440062e-05,0.25,0.5,-1.1458170591155739,-0.06680344160261908,0.6389057750759879,-4.116049215341253e-05,0.6067146885200589,0.07340858298355846,-0.012158054711246202,4.8884323100988084e-05,1645,28,1.0
00c46ab7a34d,bollinger_bands,-1.957752419684694,-0.1239571899414601,0.595561918396564,-9.341757439812065e-05,0.25,0.5,-1.2644902036210646,-0.0604011768162821,0.5912670007158196,-4.3904692867033575e-05,0.6932622160636295,0.063556013125178,-0.0042949176807444145,4.9512881531087076e-05,1397,28,1.5
cb819834437d,bollinger_bands,-1.8035974988918868,-0.08137992797863214,0.58125,-0.00010498376215424498,0.2,0.4,-0.9872481525975407,-0.03437275372537674,0.57,-4.309507483448922e-05,0.8163493462943461,0.0470071742532554,-0.011250000000000093,6.188868731975576e-05,800,28,2.0
95e25a4feb8e,bollinger_bands,-1.595450193392657,-0.04788863841425561,0.5135802469135803,-0.00012021895151377204,0.2,0.4,-1.4268675081497828,-0.0349547328381794,0.5111111111111111,-8.72274884288702e-05,0.16858268524287423,0.01293390557607621,-0.0024691358024692134,3.299146308490184e-05,405,28,2.5
f7bf3891057b,bollinger_bands,-1.254961310491352,-0.026079910927354955,0.5396039603960396,-0.00012992514673148487,0.2,0.4,-0.7810583605120002,-0.014120476175520036,0.5346534653465347,-6.973618632833298e-05,0.4739029499793518,0.011959434751834919,-0.004950495049504955,6.018896040315189e-05,202,28,3.0
569295355819,bollinger_bands,-1.7812197095478381,-0.14046196142390377,0.6462205700123915,-9.200416023027642e-05,0.25,0.5,-1.2000158799931666,-0.06961787805602404,0.6325898389095415,-4.382676784010501e-05,0.5812038295546715,0.07084408336787973,-0.013630731102850069,4.8177392390171404e-05,1614,29,1.0
e39754500c70,bollinger_bands,-2.051714279105026,-0.13049931556863703,0.5886214442013129,-0.00010063235804503952,0.25,0.5,-1.2928468042396337,-0.06170213265661639,0.5849744711889132,-4.574765228252634e-05,0.7588674748653921,0.06879718291202064,-0.00364697301239969,5.488470576251318e-05,1371,29,1.5
ba3731f3d147,bollinger_bands,-1.668647199474859,-0.07569397493078989,0.5932415519399249,-9.738981945800449e-05,0.2,0.4,-0.6026614958152311,-0.02119639514251659,0.5844806007509387,-2.6193921255223767e-05,1.0659857036596279,0.0544975797882733,-0.008760951188986232,7.119589820278072e-05,799,29,2.0
3e6c81c24d71,bollinger_bands,-1.4668951093861402,-0.04373067221043081,0.5213032581453634,-0.00011112496185891096,0.2,0.4,-1.3432603525558617,-0.03334173219169856,0.518796992481203,-8.433890555600265e-05,0.12363475683027847,0.010388940018732251,-0.0025062656641603454,2.678605630290831e-05,399,29,2.5
e23f73a1a999,bollinger_bands,-1.1656178108928308,-0.024094629052721528,0.5339805825242718,-0.00011753287259679786,0.2,0.4,-0.7568509577873832,-0.013694413350857637,0.529126213592233,-6.628649942183136e-05,0.4087668531054476,0.01040021570186389,-0.004854368932038833,5.1246373174966504e-05,206,29,3.0
09ec9f49753c,bollinger_bands,-1.751463864022648,-0.13774472322977105,0.6426783479349186,-9.096618710552489e-05,0.25,0.5,-1.3880377913310449,-0.07979753380680876,0.6289111389236546,-5.1151585876531424e-05,0.3634260726916032,0.057947189422962286,-0.013767209011264048,3.9814601228993466e-05,1598,30,1.0
13aea1255ea7,bollinger_bands,-2.0991738169220424,-0.13459216722214395,0.5884988797610157,-0.00010653089713904918,0.25,0.5,-1.393123086900946,-0.06663992634773563,0.5840179238237491,-5.07727028528292e-05,0.7060507300210963,0.06795224087440832,-0.004480955937266606,5.5758194286219976e-05,1339,30,1.5
1941bec06c3a,bollinger_bands,-1.9388723069252523,-0.0883124288201721,0.5821656050955414,-0.00011660677879756078,0.2,0.4,-1.0301928900372532,-0.03564571649574877,0.5719745222929936,-4.560508318361671e-05,0.908679416887999,0.052666712324423326,-0.010191082802547768,7.100169561394408e-05,785,30,2.0
1d7a3e053fd6,bollinger_bands,-1.8899663018184236,-0.05451596303719464,0.5075757575757576,-0.000140652956913056,0.0,0.0,-1.8899663018184236,-0.05451596303719464,0.5075757575757576,-0.000140652956913056,0.0,0.0,0.0,0.0,396,30,2.5
f323d58803c3,bollinger_bands,-1.0867001340377767,-0.022668026675187525,0.5388349514563107,-0.00011042924938260277,0.2,0.4,-0.5906345902645564,-0.010776585625162705,0.5339805825242718,-5.1942326541273674e-05,0.4960655437732202,0.01189144105002482,-0.004854368932038833,5.848692284132909e-05,206,30,3.0
203fc1421563,bollinger_bands,-1.7198280389477634,-0.13523665226270298,0.6433611289288005,-9.138000491315636e-05,0.25,0.5,-1.241093408726575,-0.07146634837240051,0.6292495189223861,-4.665602301928182e-05,0.47873463022118834,0.06377030389030247,-0.014111610006414366,4.4723981893874535e-05,1559,31,1.0
9fd39ed6212b,bollinger_bands,-2.1177908539679584,-0.14181114117128124,0.5935828877005348,-0.00011522473840925607,0.25,0.5,-1.341640536739399,-0.06359900173741284,0.5874713521772346,-4.94678241894158e-05,0.7761503172285593,0.0782121394338684,-0.006111535523300238,6.575691421984028e-05,1309,31,1.5
11129fcb7fa5,bollinger_bands,-1.9048008629980093,-0.09036022312543723,0.5915492957746479,-0.00011998117341350605,0.2,0.4,-0.9902104237435279,-0.034035747203937095,0.5800256081946222,-4.37128393561446e-05,0.9145904392544815,0.05632447592150014,-0.011523687580025643,7.626833405736145e-05,781,31,2.0
5b7b08275e14,bollinger_bands,-2.1201627838130124,-0.06477805130829706,0.5086848635235732,-0.0001651660117910458,0.5,1.0,-2.060921834159281,-0.05996489350757883,0.5086848635235732,-0.00015252624899338252,0.05924094965373117,0.004813157800718226,0.0,1.2639762797663276e-05,403,31,2.5
121b0501bf35,bollinger_bands,-1.3828869966586612,-0.029319022499937897,0.5217391304347826,-0.00014284197118724735,0.2,0.4,-0.9085050916587903,-0.01656443371568561,0.5217391304347826,-8.002922948420283e-05,0.4743819049998709,0.012754588784252285,0.0,6.281274170304452e-05,207,31,3.0
fc9943afab8c,bollinger_bands,-1.6834356517041626,-0.13191623774096772,0.6494512588766946,-8.951640364673591e-05,0.25,0.5,-1.3352574484822928,-0.07615469974912015,0.6333118140735958,-5.0235162011069446e-05,0.3481782032218699,0.055761537991847576,-0.016139444803098812,3.9281241635666465e-05,1549,32,1.0
